c 成
c, 娼
c,e, 嫦娥
c,f 嫦
c,fr 嫦
c,i 婵
c,ig 婵
c,j, 婵娟
c,j, 娼妓
c,m 媸
c,ma 媸
c,o 姹
c,o, 姹
c,ss 娼
c. 参
c., 皴
c.,g 皴
c.; 戳
c.;r 戳
c.bf 参保
c.bq 参拜
c.ci 参差
c.co 戳穿
c.ec 参
c.g 翀
c.g. 参观
c.gd 参股
c.gj 翀
c.gt 参观团
c.gz 参观者
c.j, 参加
c.jg 参见
c.jp 参军
c.jz 参加者
c.kj 参考
c.kq 参看
c.ks 参考书
c.l/ 翠绿
c.ls 参量
c.mb 参谋部
c.mp 参谋
c.mz 参谋长
c.nt 翠鸟
c.pp 参评
c.si 参数
c.so 参赛
c.sz 参赛者
c.th 参天
c.v 叉
c.wo 参悟
c.xq 参选
c.y 翠
c.y; 参与
c.yf 翠
c.ym 参院
c.yp 参议
c.yu 参阅
c.yy 参议院
c.yz 参与者
c.za 参战
c.zj 参政
c.zm 叉子
c.zn 参展
c.zq 翠竹
c.zq 参赞
c.zs 参照
c.zw 参照物
c/ 纯
c/. 骖
c/.k 骖
c/;g 纯
c/a 绰
c/as 绰
c/b 巛
c/bw 纯白
c/c/ 驰骋
c/ci 纯粹
c/d/ 绸缎
c/dj 绸带
c/dy 纯度
c/g 巢
c/gh 巢
c/gj 骋
c/hl 绰号
c/jc 纯洁
c/jf 纯金
c/jk 纯碱
c/js 纯净水
c/jy 纯净
c/lq 纯利
c/lr 纯利润
c/m 驰
c/m/ 缠绵
c/mb 驰
c/mg 绌
c/mi 纯美
c/mq 纯毛
c/mt 驰名
c/mx 纯棉
c/n 骣
c/nt 骣
c/px 纯朴
c/qo 纯情
c/r/ 缠绕
c/s 剿
c/sg 纯水
c/sn 纯属
c/sr 纯收入
c/sw 缠身
c/sy 纯熟
c/t 绸
c/tv 绸
c/w 骢
c/w, 骢
c/xo 巢穴
c/y 缠
c/ym 纯羊毛
c/yw 缠
c/yz 纯银
c/zf 缠住
c/zi 缠着
c/zj 纯真
c/zj 纯正
c/zq 纯种
c; 车
c;. 辍
c;.. 辍
c;co 车窗
c;cy 车床
c;di 车道
c;fh 车夫
c;g 虿
c;gj 车工
c;gj 虿
c;h 辏
c;hk 辏
c;j 车
c;ju 车间
c;l; 车辆
c;l; 车轮
c;lc 车流
c;lk 车裂
c;n, 车奴
c;pj 车票
c;pw 车牌
c;sq 车手
c;sw 车身
c;xk 车厢
c;xo 辍学
c;z; 车轴
c;zm 车子
c;zy 车站
ca 此
caao 此案
cacb 柴草
cact 此处
cacy 此次
cadq 此等
cadv 此地
caf 齿
cafm 齿
cafn 餐费
cafp 餐
cafy 雌
cag 觇
cagt 餐馆
cagt 觇
cahe 此后
cahi 柴火
cahp 此话
cahq 柴禾
cai 粲
caih 鹾
caij 粲
cajg 餐具
cajg 餐巾
cajo 此举
cajs 此景
caju 此间
cakj 此款
caky 此刻
cal 龊
cal; 齿轮
cala 龊
cald 尘埃落定
cali 此类
calk 此列
cami 柴米
can, 此乃
caqi 此前
carf 此人
cas/ 此书
casj 此事
casq 此生
cass 此时
cat 龀
cat 此
catk 餐厅
cats 此题
cawi 此为
cawt 此外
cawy 此文
cax 柴
caxe 此行
caxj 此项
caxk 雌雄
caxo 雌性
cayc 柴油
cayj 柴油机
cayt 餐饮
cayy 此言
caz; 此致
caza 餐桌
cazg 此中
cb 草
cb/ 莼
cb/h 莼
cba 茈
cbaa 茈
cbao 草案
cbbj 草本
cbbl 寸步不离
cbbr 寸步不让
cbbt 草包
cbbw 苍白
cbbx 茶杯
cbc. 苍翠
cbcb 葱葱
cbcb 草草
cbcb 苍苍
cbcf 草丛
cbcn 吃饱穿暖
cbcv 菜场
cbcv 草场
cbd, 菜刀
cbda 茶点
cbdi 菜单
cbdi 茶道
cbdt 草甸
cbdv 菜地
cbdv 草地
cbdw 承办单位
cbdy 词不达意
cbet 草儿
cbf 茶
cbf/ 苍
cbff 苁
cbfj 茌
cbfj 茶
cbfp 茶房
cbfx 出版发行
cbgb 草菇
cbgc 承包工程
cbgq 草稿
cbgt 茶馆
cbgx 草根
cbgy 船舶工业
cbgz 筹备工作
cbhb 茶花
cbhb 菜花
cbhc 苍海
cbhh 茶话会
cbhj 茶壶
cbhs 成本核算
cbhz 吃饱喝足
cbj. 苍劲
cbjd 从不间断
cbjf 猝不及防
cbjg 茶具
cbjj 储备基金
cbjl 初步建立
cbjt 茶几
cbjy 承包经营
cbk 藏
cbkg 蒇
cbkn 藏
cbkx 茬
cbli 草料
cbli 茶炉
cblj 苍老
cbll 苍鹭
cblq 菜篮
cbls 草绿色
cblx 茶楼
cbly 苍凉
cblz 菜篮子
cbmb 草莓
cbmb 苍茫
cbmb 草莽
cbmg 草帽
cbmx 草木
cbnp 菜农
cbnt 菜鸟
cbnu 草拟
cbnx 寸步难行
cbnz 藏匿
cbp, 草皮
cbpe 茶盘
cbpp 菜谱
cbpv 草坪
cbq 苌
cbq. 苌
cbqj 萃取
cbqo 苍穹
cbqq 草签
cbr 菜
cbrd 惨不忍睹
cbri 菜
cbrq 出版日期
cbs 菖
cbs/ 藏书
cbs/ 草书
cbsb 菜蔬
cbsc 菜市场
cbsf 草食
cbsg 茶水
