d 的
d, 刀
d,cf 嫡传
d,fc 刀法
d,fs 刀斧手
d,fz 刀锋
d,gj 刀工
d,i 娣
d,in 娣
d,j, 妒嫉
d,jf 刀剑
d,jg 刀具
d,jn 妒忌
d,kl 刀口
d,p 妒
d,pk 妒
d,pw 刀片
d,qj 刀鞘
d,qx 刀枪
d,qy 嫡亲
d,r, 刀刃
d,s 妲
d,sg 刀山
d,sz 妲
d,xm 刀削面
d,xt 嫡系
d,y 嫡
d,yi 嫡
d,zm 刀子
d. 对
d.ag 对岸
d.ag 登岸
d.b; 对比
d.bd 对不对
d.bi 对半
d.bj 对本
d.bl 对吧
d.bq 对不起
d.bu 登报
d.bw 对白
d.bz 对不住
d.ca 对此
d.cm 登出
d.cq 对称
d.cq 对策
d.cv 登场
d.cx 对称性
d.cz 对错
d.de 对待
d.dp 对调
d.dq 对得起
d.dq 对等
d.du 对打
d.dv 对地
d.dw 对等网
d.ef 对俄
d.f 翟
d.ff 对付
d.fv 登封
d.fy 对方
d.fy 翟
d.gj 对攻
d.gj 怠工
d.gq 对过去
d.gy 登高
d.hf 对华
d.hk 对话框
d.hp 对话
d.hu 对换
d.j, 叠加
d.j. 对劲
d.jb 登记表
d.jc 登记处
d.jj 登基
d.jo 对家
d.jp 登记
d.jt 对角
d.ju 对接
d.jv 对
d.jx 登机
d.jx 对角线
d.jy 对决
d.jz 登记证
d.kh 对开
d.kl 对口
d.ko 对空
d.ks 对抗赛
d.ku 对抗
d.kx 对抗性
d.l. 对垒
d.lc 对流
d.lj 对联
d.lm 对立面
d.lm 登陆
d.ln 登录
d.ls 登临
d.ly 对立
d.m 邓
d.mi 对美
d.mk 对面
d.ml 对吗
d.mo 怠慢
d.mu 对门
d.mu 登门
d.ng 对内
d.nx 对那些
d.of 对偶
d.p 叠
d.pg 叠
d.po 怠
d.po 怼
d.pv 迨
d.px 登攀
d.qj 对其
d.qy 对齐
d.rs 对日
d.sa 登上
d.sd 登山队
d.sg 登山
d.si 对数
d.sp 对视
d.sq 对手
d.ss 登时
d.t 凳
d.t, 对她
d.t. 登台
d.tf 对他
d.th 登天
d.to 对头
d.tx 对台戏
d.wg 对我国
d.wm 对我们
d.wq 对我
d.wt 对外
d.wy 对望
d.xg 对虾
d.xp 邓小平
d.xs 对学生
d.xt 对象
d.yd 登月
d.yh 对于
d.yl 对呀
d.yx 对一些
d.yy 对应
d.z 登
d.z; 对转
d.za 对战
d.ze 对质
d.zg 对峙
d.zi 对着
d.zj 登载
d.zl 登
d.zm 凳子
d.zm 对阵
d.zs 对照
d.zu 对撞
d.zy 对准
d/ 缔
d/. 骀
d/.l 绐
d/.l 骀
d/j/ 缔结
d/q 缍
d/qa 缍
d/w 缎
d/wh 缎
d/y/ 缔约
d/yg 缔约国
d/yi 缔
d/zm 缎子
d/zq 缔造
d/zz 缔造者
d; 到
d;ag 东岸
d;aj 到岸价
d;b, 东边
d;ba 东北
d;bb 东北部
d;bf 东北风
d;bh 东北虎
d;bj 东北角
d;by 东部
d;ca 到此
d;cf 东侧
d;ct 到处
d;cu 顿挫
d;cv 到场
d;d 东
d;d; 东东
d;da 到点
d;dc 东渡
d;dg 东道国
d;di 东道
d;dk 到达
d;ds 到底是
d;dv 东
d;dw 东帝汶
d;dy 到底
d;dz 东道主
d;em 东阿
d;fa 东非
d;fh 东方红
d;fp 到访
d;ft 东风
d;fy 东方
d;gb 东莞
d;gj 到过
d;gk 顿感
d;gs 东莞市
d;hc 东海
d;hc 东汉
d;he 东航
d;hf 到会
d;hf 到货
d;hl 顿号
d;hp 到户
d;j/ 东经
d;jj 东晋
d;jo 到家
d;jo 东家
d;jy 东京
d;k 顿
d;kg 顿
d;l 趸
d;la 趸
d;lc 东流
d;ll 到来
d;mk 东面
d;mq 到目前
d;ms 东盟
d;mu 东门
d;nb 东南部
d;nf 东南风
d;nf 东南方
d;nj 东南
d;ny 东南亚
d;ok 东欧
d;qj 到期
d;qy 到齐
d;rf 到任
d;rt 顿然
d;s 到
d;sg 东山
d;sh 到时候
d;si 顿首
d;sq 到手
d;ss 顿时
d;ss 到时
d;t 鸫
d;tl 到头来
d;to 到头
d;tp 鸫
d;wf 到位
d;wl 东吴
d;wo 顿悟
d;x/ 东乡
d;xf 东西方
d;xj 东西
d;xz 到现在
d;y; 东夷
d;yb 东营
d;yc 东洋
d;yc 东瀛
d;yg 到一个
d;yj 东亚
d;ys 东营市
d;zb 东芝
d;ze 东征
d;zh 到最后
d;zj 东正教
d;zl 到这里
d;zt 东周
d;zy 到站
da 点
dab, 督办
dabu 点播
dacb 点菜
dacf 督促
dacm 点出
daco 督察
dacx 督查
dad; 点到
dada 点点
dadc 点滴
dadd 点对点
dadi 点灯
dadn 督导
dadt 点点头
dag 督
dagh 督
dagz 点歌
dahi 点火
dajh 点击
dajl 点击率
dajy 点将
daly 点亮
dams 点明
damt 点名
daoo 点
dapp 点评
daqz 点钱
dari 点燃
dasi 点数
dato 点头
dawf 点位
daxp 点心
daya 大案要案
daz/ 点缀
daza 督战
dazi 点着
dazm 点子
dazm 点阵
dazz 点钟
db 荡
dbbp 打抱不平
dbc, 荡
dbcs 得不偿失
dbcy 断壁残垣
dbdc 荡涤
dbdh 代表大会
dbdl 大包大揽
dbdq 东北地区
dbf, 荡妇
dbfq 大部分地区
dbgs 担保公司
dbgt 对簿公堂
dbld 大不列颠
dblx 大步流星
dbmy 多边贸易
dbo 菪
dbon 菪
dbq 董
dbqg 董
dbqj 调兵遣将
dbrl 倒背如流
dbrw 代表人物
dbsh 董事会
dbsj 董事
dbsz 董事长
dbt 荻
dbtr 荻
dbtw 萏
dbv 芏
dbw 蔸
dbwn 蔸
dbxj 短兵相接
dbxt 大不相同
dbxz 东奔西走
dby 蒂
dbyc 荡漾
dbyf 大饱眼福
dbyi 蒂
dbyy 大不一样
dc 淡
dc. 澄
dc.e 澄
dc; 沌
dc;g 沌
dcbb 淡薄
dcbc 淡泊
dccc 滇池
dcce 渡船
dccl 洞察力
dcco 洞察
dcdb 大慈大悲
dcdc 淡淡
dcdc 滴滴
dcdh 大吃大喝
dcdn 大吵大闹
dcdw 大彻大悟
dcdy 多才多艺
dcdz 多彩多姿
dcfi 淀粉
dcfp 洞房
dcfs 电磁辐射
dcfy 洞府
dcg 洞
dcgj 渡过
dcgs 达成共识
dcgy 电磁感应
dcgz 洞
dch/ 淡红
dchc 渡河
dchc 渡海
dchf 淡化
dchj 淡黄
dcir 淡
dcj 滇
dcj. 渎
dcjb 德才兼备
dcjc 得寸进尺
dcjc 渡江
dcjg 滇
dcjq 淡季
dcjs 打草惊蛇
dckh 洞开
dckl 渡口
dckl 洞口
dcl/ 涤纶
dcl; 渡轮
dclb 滴落
dclg 洞里
dcls 淡蓝色
dcmc 淡漠
dcng 洞内
dco 淀
dcon 淀
dcq 沲
dcqm 沲
dcrr 滴入
dcrt 淡然
dcsf 东窗事发
dcsg 淡水
dcsg 多愁善感
dcsg 滴水
dcsh 淡水湖
dcsy 淡水鱼
dct 涤
dctc 大错特错
dcth 洞庭湖
dctk 澹
dcty 洞庭
dcty 涤
dcwy 淡忘
dcwz 到此为止
dcxc 独出心裁
dcxj 雕虫小技
dcxo 洞穴
dcxr 洞悉
dcxy 达成协议
dcy 渡
dcy; 淡雅
dcyi 滴
dcyj 大吃一惊
dcyj 多此一举
dcyp 打成一片
dcyq 渡
dcyy 到此一游
dcyz 达成一致
dczj 渎职
dczy 淡妆
dczz 渎职罪
dd 胆
dd; 胨
dd;d 胨
ddba 动荡不安
ddbr 咄咄逼人
ddbt 胆大包天
ddbx 喋喋不休
ddcc 躲躲藏藏
ddcd 肚肠
ddcs 大打出手
dddd 单打独斗
dddd 地地道道
dddd 点点滴滴
dddk 胆大
dddz 得道多助
ddff 大大方方
ddfs 道德风尚
ddg 胴
ddgc 胆固醇
ddgg 大动干戈
ddgn 胆敢
ddgs 咄咄怪事
ddgz 多多关照
ddgz 胴
ddhb 颠倒黑白
ddhf 打道回府
ddjt 短短几天
ddkf 大刀阔斧
ddlg 胆略
ddll 大大咧咧
ddls 胆量
ddnj 胆囊
ddo 腚
ddon 腚
ddp, 肚皮
ddpz 道德品质
ddqd 肚脐
ddqf 跌宕起伏
ddqo 胆怯
ddrl 对答如流
ddsf 颠倒是非
ddsj 当地时间
ddsl 敌对势力
ddsp 胆识
ddsr 大多数人
ddss 多多少少
ddss 躲躲闪闪
ddst 胆色
ddsz 胆
ddtf 胴体
ddtg 大大提高
ddv 肚
ddwb 地大物博
ddww 胆大妄为
ddxc 东躲西藏
ddxd 胆小
ddxg 胆小鬼
ddxw 东倒西歪
ddxx 胆大心细
ddxx 断断续续
ddxx 大大小小
ddyj 大跌眼镜
ddym 独当一面
ddys 多多益善
ddzc 胆汁
ddzc 独到之处
ddzf 当地政府
ddzk 大打折扣
ddzm 胆子
ddzm 肚子
ddzr 单刀直入
ddzx 独断专行
ddzy 打定主意
ddzz 跌跌撞撞
ddzz 端端正正
de 得
deaz 德昂族
debd 得不到
debu 得把
deby 得病
decj 德才
decl 得逞
decm 得出
decx 待查
decy 第二产业
ded; 得到
dede 得得
dedf 得当
dedi 得道
dedo 待定
dedt 得多
defc 得法
defr 得分
degg 德国
degj 得过
degr 德国人
deh, 得好
dehe 得很
dehf 待会
dehl 德黑兰
dej 德
dejd 第二季度
dejd 第二阶段
dejg 盾
dejg 德
dejj 得救
dejp 德军
dejx 待机
dejy 得奖
deko 待客
dekq 得看
del, 得力
deld 吊儿郎当
dell 得来
delm 得了
delq 得利
demf 待命
demt 得名
deo 舵
deo, 舵
dep 遁
depj 得票
depu 待批
depv 遁
depw 盾牌
deq 瓞
deqk 瓞
deqv 得起
derf 待人
derx 得人心
desd 得胜
desh 得
desq 得失
desq 得手
desq 舵手
desu 得势
detf 得体
dev 待
devj 待
dewy 德文
dex/ 待续
dexe 德行
dexo 德性
dexz 等而下之
dey. 得以
deyg 待遇
deyi 得益
deyj 得要
deym 德阳
deyp 德语
deys 待业
deyy 得意
deyy 德育
deyz 德意志
dezg 得罪
dezi 德州
dezj 得志
dezp 得之
dezq 得知
dezr 得罪人
dezs 德州市
dezt 德智体
dezy 得主
df 但
df; 代
df;v 倒
df;v 代
dfaq 低矮
dfb, 代办
dfb; 倒毙
dfbb 大腹便便
dfbc 代表处
dfbf 低保
dfbh 代表
dfbm 代表们
dfbn 但不能
dfbq 代笔
dfbr 代表人
dfbs 但不是
dfbt 代表团
dfbu 倒闭
dfbu 党报
dfbw 当兵
dfbx 代表性
dfby 地方保护主义
dfbz 代表作
dfc; 倒车
dfcb 低成本
dfcc 低层次
dfcc 低潮
dfcc 低沉
dfcf 代偿
dfci 当差
dfck 当成
dfcm 贷出
dfcn 低层
dfcp 当初
dfcp 代词
dfcq 低垂
dfcr 倒彩
dfct 低处
dfcv 当场
dfcy 低产
dfd. 但对
dfda 低点
dfdb 党代表
dfdf 当代
dfdh 党代会
dfdl 大风大浪
dfdp 低调
dfdq 低等
dfdr 当地人
dfdu 倒掉
dfdv 当地
dfdx 低档
dfdy 倒底
dfdy 低度
dfdy 低端
dfet 当儿
dff, 代发
dfff 倒伏
dffg 地方法规
dffn 党费
dffr 低分
dffy 贷方
dfg 贷
dfg/ 党纲
dfg; 倒戈
dfgc 代沟
dfgd 当归
dfgf 低估
dfgf 贷
dfgg 代购
dfgh 党规
dfgi 黛
dfgj 佃
dfgo 当官
dfgq 代管
dfgr 低谷
dfgu 倒挂
dfgw 党工委
dfgx 岱
dfgz 侗
dfh 傣
dfh, 当好
dfh/ 当红
dfhg 低回
dfhh 低耗
dfhk 傣
dfhl 代号
dfhp 佃户
dfhu 倒换
dfhz 洞房花烛
dfj 仃
dfj/ 党纪
dfj/ 低级
dfjc 大放厥词
dfje 当街
dfjf 代价
dfjf 当今
dfjf 低价
dfjg 低贱
dfjn 当即
dfjn 当局
dfjo 当家
dfjq 党籍
dfjr 当家人
dfjs 倒计时
dfjy 但就
dfkj 贷款
dfkl 当口
dfko 低空
dfkp 代课
dfla 党龄
dflb 低落
dflb 代劳
dflc 倒流
dfld 低劣
dflh 代理
dflr 代理人
dfls 代理商
dflt 大发雷霆
dfly 倒立
dfly 低廉
dfmc 代名词
dfmi 低迷
dfmj 倒卖
dfmk 代码
dfmk 当面
dfml 倒霉
dfmz 东方明珠
dfn 当
dfn. 低能
dfnf 当你
dfng 党内
dfnj 低年级
dfnp 佃农
dfnq 当年
dfnw 党内外
dfnz 当
dfpa 低频
dfpc 党派
dfpl 低平
dfpv 代培
dfpz 当铺
dfqi 当前
dfqj 但其
dfqn 党群
dfqp 当权派
dfqv 但却
dfqx 当权
dfqy 党旗
dfqz 当权者
dfrg 但如果
dfrr 代入
dfrr 倒入
dfrs 当日
dfrt 当然
dfsa 当上
dfsf 低俗
dfsg 党史
dfsh 代数和
dfsi 代数
dfsi 倒数
dfsj 低声
dfsj 低速
dfsm 代收
dfsn 当属
dfsp 低水平
dfsq 低手
dfsr 当事人
dfsr 低收入
dfss 但是
dfss 当时
dfss 倒是
dfsw 答非所问
dfsw 袋鼠
dfsz 当事者
dfsz 但
dft 党
dft. 倒台
dft; 低
dftg 党团
dfth 代替
dfth 当天
dftk 儋
dftn 倒退
dfto 低头
dfto 当头
dftv 倒塌
dfty 党团员
dfwc 低温
dfwc 低洼
dfwe 低微
dfwf 低位
dfwh 党委会
dfwi 代为
dfwj 倒卧
dfwk 倒胃口
dfwq 党委
dfws 当晚
dfwt 党外
dfwt 党务
dfxb 低薪
dfxf 倒叙
dfxh 低消耗
dfxj 倒下
dfxj 低下
dfxl 低效率
dfxo 党性
dfxp 当心
dfxp 代谢
dfxq 当选
dfxt 低血糖
dfxw 低息
dfxx 党校
dfxy 低效
dfxz 代销
dfy 袋
dfy. 党羽
dfyc 大放异彩
dfyd 当月
dfyg 但因
dfyh 低于
dfyj 但要
dfyk 但愿
dfyk 低压
dfyl 党员
dfym 但也
dfyn 但已
dfyp 代用品
dfyr 代言人
dfyr 倒爷
dfys 倒影
dfys 倒映
dfyt 代用
dfyt 袋
dfyy 当夜
dfyy 低音
dfyy 代言
dfz/ 党组
dfz; 倒转
dfzb 党支部
dfzf 当众
dfzf 当作
dfzg 当中
dfzg 倒置
dfzi ^儋州
dfzi 当着
dfzj 当真
dfzj 党政
dfzj 登峰造极
dfzk 但在
dfzm 袋子
dfzy 党中央
dfzy 党章
dfzy 傣族
dfzy 侗族
dfzz 党组织
dg 赌
dg. 瞪
dg.e 嶝
dg.e 瞪
dg; 盹
dg;d 岽
dg;g 囤
dg;g 盹
dgbc 电波
dgbd 多国部队
dgbh 电表
dgbj 赌博
dgbl 迪吧
dgbu 电报
dgbx 电冰箱
dgc; 电车
dgcb 电磁波
dgcc 电池
dgcf 电传
dgck 电磁
dgck 电厂
dgct 电磁铁
dgcv 赌场
dgcv 电场
dgcx 电磁线
dgdc 电动车
dgdf 典当
dgdh 电动
dgdi 电灯
dgdj 电动机
dgdk 电大
dgdn 电导
dgdp 电灯泡
dgdz 电镀
dgfb 典范
dgfc 鼎沸
dgfg 巅峰
dgfn 电费
dgfs 电风扇
dgg 峒
dggc 大功告成
dggf 电光
dggi 大关
dggj 典故
dggj 电工
dggk 电感
dggl 电功率
dggq 电告
dggs 髑
dggx 电杆
dggz 峒
dgh 电
dgh, 电贺
dghb 电荷
dghb 电
dghc 电汇
dghf 电化
dghg 电焊工
dghi 电焊
dghj 电话机
dghk 帱
dghn 电弧
