f 分
f, 发
f,.v 发
f,ak 妨碍
f,al 发案率
f,ao 发案
f,bh 发表
f,bj 发报机
f,bk 发布
f,bk 飞奔
f,bl 发病率
f,bt 发包
f,bu 发报
f,bw 发白
f,by 发病
f,bz 发表在
f,c/ 飞驰
f,c; 飞车
f,ce 飞船
f,cg 发财
f,ck 妇产科
f,cm 发出
f,co 发怵
f,cq 发愁
f,cy 发颤
f,d; 发到
f,dc 发电厂
f,dg 发电
f,dh 发动
f,di 妇道
f,dj 发动机
f,dk 发达
f,dl 发电量
f,du 发抖
f,dx 发短信
f,dy 发端
f,dz 发电站
f,eg 飞蛾
f,fk 发奋
f,fo 发愤
f,fp 发福
f,fy 发放
f,fy 发疯
f,g/ 发给
f,gf 发光
f,gj 飞过
f,gq 发稿
f,gw 发改委
f,hd 发挥到
f,hf 发货
f,hg 发回
f,hi 发火
f,hj 发黄
f,hk 发还
f,hm 发函
f,ho 妨害
f,hp 发话
f,ht 发狠
f,hu 发挥
f,jc 飞机场
f,jc 飞溅
f,jf 发件
f,jj 发酵
f,jl 发夹
f,jo 发觉
f,ju 发掘
f,jx 飞机
f,jy 发迹
f,jy 发奖
f,kc 发刊词
f,ko 飞快
f,kq 妇科
f,kt 发狂
f,l, 发力
f,l; 飞轮
f,lf 发令
f,lj 妇联
f,lk 飞龙
f,ll 发来
f,ll 飞来
f,lo 发愣
f,lp 飞利浦
f,ls 发牢骚
f,ly 发亮
f,ly 发廊
f,mj 发明家
f,ml 发霉
f,mq 发毛
f,mr 发明人
f,ms 发明
f,mt 飞毛腿
f,my 发麻
f,mz 发明者
f,n 妇
f,n, 妇女
f,n, 发怒
f,n. 发难
f,nb 妃
f,nj 妇女节
f,nt 飞鸟
f,nz 妇
f,pd 发胖
f,pj 发票
f,pl 飞跑
f,pq 发脾气
f,qf 飞禽
f,qh 发球
f,qo 发情
f,qr 发起人
f,qv 发起
f,r; 发软
f,r; 发轫
f,rf 妇人
f,rl 发热量
f,rm 妇孺
f,rr 飞入
f,ru 发热
f,sf 发售
f,sg 发生过
f,sh 发生后
f,si 发送
f,si 发烧
f,sj 飞速
f,sj 发射机
f,sq 发生
f,su 发誓
f,sw 发射
f,sx 发梢
f,sy 发烧友
f,sz 发生在
f,tc 发烫
f,td 飞腾
f,tg 发帖
f,th 飞天
f,tt 发条
f,tz 发帖子
f,v 飞
f,we 飞往
f,wk 发威
f,wq 飞舞
f,wu 发问
f,wy 发文
f,xc 发泄
f,xd 发祥地
f,xe 飞行
f,xe 发行
f,xf 发信
f,xh 发现
f,xh 发型
f,xi 飞翔
f,xp 发祥
f,xq 发笑
f,xq 飞行器
f,xr 发信人
f,xw 飞向
f,xy 飞行员
f,y 妨
f,y, 妨
f,y/ 妇幼
f,yb 发芽
f,yc 发源
f,yd 发源地
f,yg 发言稿
f,yh 发运
f,yi 发炎
f,yl 飞跃
f,yq 发言权
f,yr 发言人
f,yu 发扬
f,yu 飞扬
f,yv 飞越
f,yy 发言
f,yy 发育
f,yy 发音
f,za 发紫
f,zc 飞涨
f,zf 发作
f,zg 发展观
f,zi 发着
f,zm 妃子
f,zn 发展
f,zo 发怔
f,zp 发证
f,zq 发簪
f,zs 发展史
f,zv 飞走
f,zw 发自
f,zz 发展中
f/ 纷
f/a 绯
f/ah 绯
f/bp 缝补
f/c; 纺车
f/cl 纷呈
f/f 驸
f/f, 纷飞
f/f/ 纷纷
f/fj 驸
f/fq 纷繁
f/h/ 绯红
f/hf 缝合
f/j 缚
f/jn 缚
f/k 绂
f/k. 绂
f/lq 纷乱
f/m/ 驸马
f/n 绋
f/n, 绋
f/r, 纷
f/r/ 缝纫
f/rj 缝纫机
f/ru 纷扰
f/s/ 纺纱
f/t 缝
f/ty 缝
f/wu 绯闻
f/xm 缝隙
f/y 纺
f/y, 纺
f/y/ 纷纭
f/z/ 纺织
f/zc 纺织厂
f/zp 纺织品
f/zt 纷争
f/zy 纺织业
f; 辅
f;c; 辐辏
f;db 辅导班
f;dn 辅导
f;dy 辅导员
f;dz 辅导站
f;jn 辅
f;li 辅料
f;sw 辐射
f;y. 辅以
f;z 辐
f;zf 辅佐
f;zg 辅助
f;zj 辅政
f;zl 辐
f;zx 辅助性
f;zy 辅之以
fa 非
fa. 翡
fa.; 翡
faah 非
fab; 非比
fabx 非标
fac. 翡翠
facf 非常
fach 非常好
fade 非得
fadf 非但
fadg 非典
fafc 非法
faft 非凡
fag 蜚
fagf 非官方
fagj 蜚
fagy 非国有
fajc 斐济
fajs 非金属
