g 个
g, 姑
g,; 戤
g,;r 戤
g,d 尕
g,dv 尕
g,fh 姑夫
g,fr 姑父
g,g, 姑姑
g,h 媾
g,hq 媾和
g,hs 媾
g,i 妫
g,i. 妫
g,jl 姑
g,m, 姑妈
g,n, 姑娘
g,nn 姑奶奶
g,qg 姑且
g,wy 姑妄
g,xw 姑息
g,yr 姑爷
g,z 哿
g,zl 哿
g. 观
g.cc 观测
g.cj 观察家
g.cl 观察力
g.co 观察
g.cy 观察员
g.cz 观测站
g.da 观点
g.f 矜
g.fp 矜
g.gf 观光
g.gk 观感
g.gt 观
g.h 癸
g.hr 癸
g.js 观景
g.k 颈
g.kg 颈
g.kq 观看
g.lp 观礼
g.my 观摩
g.nf 观念
g.ns 观念上
g.sf 观赏
g.sx 观赏性
g.sy 观世音
g.wh 癸未
g.wy 观望
g.xx 观想
g.yy 观音
g.za 观战
g.zf 观众
g/ 给
g/bx 贯标
g/ce 贯彻
g/cf 纲常
g/cm 给出
g/co 贯穿
g/cy 贯穿于
g/do 给定
g/f 纶
g/fn 缑
g/ft 纶
g/fz 给
g/g 纲
g/gf 贯
g/gr 纲
g/j 绀
g/ja 绀
g/jn 绠
g/lf 纲领
g/lx 纲领性
g/mg 纲目
g/nf 给你
g/q 纥
g/qb 纥
g/rf 给人
g/s 绲
g/s; 绲
g/t. 贯通
g/tf 给他
g/wq 给我
g/y 缟
g/y. 给以
g/y; 给与
g/yj 纲要
g/yl 缟
g/zc 贯注
g; 轨
g;b 轧
g;bn 戈壁
g;bt 戈壁滩
g;di 轨道
g;j 轱
g;jl 轱
g;jy 轨迹
g;r 戈
g;s 辊
g;s; 辊
g;t 轨
gabm 公安部门
gagh 隔岸观火
gagj 公安干警
gajg 公安机关
gary 公安人员
gatb 港澳同胞
gb 葛
gb, 菇
gb,h 菇
gbbz 根本保证
gbcc 功败垂成
gbcs 根本措施
gbdf 根本大法
gbds 广播电视
gbdt 广播电台
gbdw 干部队伍
gbdx 各奔东西
gbf 芥
gbfw 芥
gbhz 根本好转
gbj 苷
gbja 苷
gbkm 功不可没
gbkp 高不可攀
gbly 根本利益
gbm 菰
gbmk 菰
gbn 茛
gbn; 茛
gbo 莞
gbon 莞
gbqc 各奔前程
gbqg 苟且
gbrw 根本任务
gbst 葛
gbsz 干部素质
gbt 苟
gbtg 苟同
gbtl 苟
gbtp 鹳
gbwt 根本问题
gbx 藁
gbxf 甘拜下风
gbxt 各不相同
gbyq 供不应求
gbys 更不用说
gbyy 根本原因
gbzb 葛洲坝
gbzd 干部制度
gbzf 固步自封
gbzf 故步自封
gbzg 干部职工
gbzy 刚愎自用
gc 沟
gcac 港澳
gcat 港澳台
gcb 灌
gcbh 高处不胜寒
gcbl 灌
gcbw 港币
gccx 沟槽
gcda 港督
gcdh 滚动
gcdi 沟道
gcdj 灌顶
gcdm 光彩夺目
gcdm 滚蛋
gcdy 共产党员
gcf 淦
gcfh 淦
gcfy 港府
gcg 汩
gcgc 灌溉
gcgc 滚滚
gcgc 汩汩
gcgh 汩
gcgj 共产国际
gcgr 沟谷
gcgs 工程公司
gcha 沟壑
gcj 港
gcja 泔
gcja 港
gcjc 觥筹交错
gcjj 各持己见
gcjl 沽
gcjs 工程建设
gcjy 灌浆
gcjz 高层建筑
gckl 港口
gcko 港客
gcl 涡
gcl; 滚轮
gclb 滚落
gcld 攻城略地
gclg 涡
gclh 干柴烈火
gclr 高层领导人
gcls 贯彻落实
gcmc 灌满
gcmc 灌木丛
gcmj 功成名就
gcmx 灌木
gcn 溉
gcn; 溉
gcng 港内
gcns 澉
gco 涫
gcom 涫
gcpn 滚屏
gcqc 沟渠
gcqz 灌区
gcrf 港人
gcru 滚热
gcs; 灌输
gcsb 顾此失彼
gcsg 泔水
gcsg 灌水
gcss 贯彻实施
gcsy 港商
gcsz 贯彻始终
gct. 沟通
gct. 港台
gct. 沟
gctc 滚烫
gctq 滚筒
