j 就
j, 加
j,/ 驾
j,/z 驾
j,; 婕
j,;h 婕
j,bf 加倍
j,bf 加班费
j,bh 加班
j,ca 加餐
j,ci 加粗
j,cj 奸臣
j,cl 娇嗔
j,cq 加长
j,cy 架次
j,d, 嫉妒
j,d; 加到
j,da 加点
j,dd 娇滴滴
j,di 姐弟
j,dk 加大
j,f 妗
j,fc 加法
j,fh 姐夫
j,fp 妗
j,fr 加分
j,g 姐
j,g/ 嫁给
j,gc 加工厂
j,gg 加固
j,gg 娇贵
j,gh 姐
j,gi 加盖
j,gj 加工
j,go 娇惯
j,gx 架构
j,gy 加工业
j,gy 加高
j,h 奸
j,h, 姣好
j,ha 婧
j,hk 加厚
j,ho 嫉恨
j,ho 加害
j,hp 嫁祸
j,hx 奸
j,hy 加害于
j,j 妓
j,j, 姐姐
j,j. 妓
j,jf 加价
j,jh 加进
j,ji 加精
j,jl 姬
j,jn 加剧
j,jp 奸计
j,js 加紧
j,jt 加急
j,ju 嫁接
j,jy 加减
j,jz 姣姣者
j,ko 加快
j,l 娟
j,l 加
j,l, 加力
j,la 驾龄
j,lb 加勒比
j,ld 娟
j,lf 加仑
j,li 加料
j,m, 姐妹
j,m, 娇媚
j,mg 加冕
j,mi 娇美
j,mo 加密
j,ms 加盟
j,n, 妓女
j,n, 娇嫩
j,n/ 加纳
j,nd 加拿大
j,o 嫁
j,on 嫁
j,p 迦
j,pb 加蓬
j,pv 迦
j,q 娇
j,q; 娇妻
j,qd 加强对
j,qn 加强
j,qq 娇气
j,qr 娇
j,qv 架起
j,qx 架桥
j,r. 娇柔
j,rf 嫁人
j,rn 娇弱
j,rq 加热器
j,rr 加入
j,ru 加热
j,s/ 驾驶
j,sa 加上
j,sc 加深
j,sc 驾驶舱
j,sg 加水
j,si 加数
j,sj 加速
j,sp 架设
j,sq 加速器
j,su 架势
j,sy 驾驶员
j,sy 奸商
j,sz 驾驶证
j,w, 娇娃
j,wc 加温
j,wc 奸污
j,x 架
j,xb 加薪
j,xd 娇小
j,xi 娇羞
j,xw 加息
j,xx 驾校
j,y 姣
j,y. 加以
j,y/ 驾驭
j,yc 加油
j,yh 娇艳
j,yk 加压
j,ym 妓院
j,yr 嫉
j,yr 姣
j,yt 袈
j,yz 加油站
j,zj 加载
j,zk 架在
j,zm 架子
j,zp 加之
j,zq 加重
j,zs 驾照
j,zy 嫁妆
j. 劲
j., 劲
j.bi 劲爆
j.by 颈部
j.cj 鸡翅
j.cu 矜持
j.dm 鸡蛋
j.dq 劲敌
j.f 矜
j.fp 矜
j.ft 劲风
j.gp 鸡冠
j.j; 艰巨
j.ji 鸡精
j.jx 艰巨性
j.k 颈
j.kb 艰苦
j.kg 颈
j.l, 劲力
j.ld 鸡肋
j.lq 鸡笼
j.ly 劲旅
j.mq 鸡毛
j.n 艰
j.n. 艰难
j.n; 艰
j.p 迳
j.pv 迳
j.qk 鸡犬
j.rg 鸡肉
j.s 刭
j.t 鸡
j.tc 鸡汤
j.td 鸡腿
j.to 劲头
j.tp 鸡
j.wj 鸡尾酒
j.wo 鸡窝
j.xj 颈项
j.xj 鸡西
j.xm 艰险
j.xs 鸡西市
j.xy 艰辛
j.yg 鸡鸭
j.zb 颈椎病
j.ze 鸡爪
j.zx 颈椎
j/ 级
j/. 经
j/.j 经
j/.r 骏
j/a 骥
j/af 骄傲
j/ak 骥
j/ao 结案
j/b, 经办
j/bf 结伴
j/bh 绝不会
j/bk 绝不
j/bl 级别
j/bm 结巴
j/bn 绝壁
j/bn 绝不能
j/bq 结拜
j/bq 经不起
j/br 经办人
j/bs 绝不是
j/bu 缉捕
j/bw 绝版
j/by 结冰
j/bz 经不住
j/c/ 纠缠
j/cd 纠察队
j/cf 经常
j/cf 结仇
j/ch 经常会
j/ci 级差
j/ck 结成
j/ck 结存
j/cl 绝唱
j/cm 继承
j/co 纠察
j/cq 继承权
j/cr 继承人
j/cx 经常性
j/cy 级次
j/cz 继承者
j/d. 绝对
j/da 结点
j/df 绝代
j/dg 经典
j/dh 缉毒
j/dj 绝顶
j/dq 经得起
j/ds 绝对是
j/dv 绝地
j/dx 绝对性
j/dy 经度
j/dz 绝对值
j/dz 经得住
j/ek 继而
j/f 给
j/f, 结发
j/f/ 纠纷
j/fa 绝非
j/ff 给付
j/fn 经费
j/fn 缴费
j/fr 继父
j/ft 纠风
j/fz 剿匪
j/fz 给
j/g 畿
j/gb 纠葛
j/gg 结果
j/gj 经过
j/gj 畿
j/gq 经管
j/gs 结果是
j/gx 结构
j/h 绩
j/h, 结婚
j/ha 绩
j/hb 缴获
j/hc 绝活
j/hc 结汇
j/hf 结合
j/hf 纠合
j/hx 结核
j/hx 骄横
j/hz 结婚证
j/i 继
j/i; 缣
j/ij 继
j/j 结
j/j/ 经纪
j/j/ 纠结
j/jc 经济
j/jf 纠集
j/jf 绝佳
j/jf 缙
j/jj 经济界
j/jl 经济林
j/jn 结局
j/jn 缰
j/jq 经济区
j/jr 经纪人
j/js 结晶
j/jt 经久
j/ju 绝技
j/jv 绝境
j/jw 纪检委
j/jx 纪检
j/jx 经济学
j/jy 结交
j/jy 绝迹
j/jy 绝交
j/jz 结
j/k 缄
j/kj 缴款
j/kl 绝口
j/ky 骑
j/kz 缄
j/l 绢
