k 可
k/ 绔
k/g 骒
k/gh 骒
k/j 缂
k/ja 缂
k/ky 绔
k/y 纩
k/yc 纩
k; 轲
k;zl 轲
ka 卡
kabk 肯不肯
kabm 卡巴
kabq 卡宾枪
kabs 卡巴斯
kac; 卡车
kad 肯
kadc 卡丁车
kadh 肯定会
kadj 肯德基
kado 肯定
kads 肯定是
kagh 肯干
kajm 卡介苗
kajv 卡
kall 卡路里
kan 龈
kan; 龈
kany 肯尼亚
kapw 卡片
kat. 卡通
kath 卡通画
katp 卡通片
kaz/ 卡纸
kb 苦
kb. 葵
kb.e 葵
kb; 蒈
kb;t 蒈
kbch 苦菜花
kbcj 溃不成军
kbcs 苦差事
kbct 苦处
kbcx 苦楚
kbdp 苦读
kbdq 苦短
kbf 莶
kbfl 莶
kbfz 恐怖分子
kbg 蒉
kbge 苦瓜
kbgg 苦果
kbgh 苦干
kbgj 苦功
kbgj 蒉
kbhb 葵花
kbhc 苦海
kbhd 恐怖活动
kbho 苦寒
kbhz 葵花子
kbjc 苦酒
kbjg 可比价格
kbjl 苦
kbkb 苦苦
kbky 苛刻
kbky 苦不堪言
kbl, 苦力
kbl/ 苦练
kblt 苦乐
kbly 苦辣
kbm 芤
kbm; 芤
kbmf 苦命
kbmu 苦闷
kbn. 苦难
kbno 苦恼
kbo 蔻
kbon 蔻
kbqj 苛求
kbrh 刻不容缓
kbrj 苦肉计
kbs 蒯
kbsc 苦涩
kbsg 苦水
kbsj 恐怖事件
kbsy 看不顺眼
kbto 苦头
kbty 苦痛
kbv 莰
kbvt 莰
kbwl 苦味
kbxf 苦修
kbxj 恐怖袭击
kbxo 苦学
kbxp 苦心
kbxq 苦笑
kbxs 苦行僧
kbyb 窥豹一斑
kbye 苦役
kbyh 苦于
kbz 苛
kbza 苦战
kbzh 苛责
kbzl 苛
kbzy 苦衷
kbzy 恐怖主义
kbzz 恐怖组织
kc 渴
kcbg 开诚布公
kcbg 溃败
kcbq 口齿不清
kcf 浍
kcfh 浍
kcg 溃
kcgj 溃
kcky 口出狂言
kcli 溃烂
kcnd 溃脓
kcqj 渴求
kcsj 溃散
kcst 渴
kctn 溃退
kcv 溘
kcv. 溘
kcwy 渴望
kcxz 可持续发展
kcyj 堪称一绝
kcyy 溃疡
kczj 可乘之机
kczx 可操作性
kczy 矿产资源
kd 胯
kda 胩
kdaj 胩
kdcl 看得出来
kdf 脍
kdfh 脍
kdhy 扩大会议
kdky 胯
kdqc 夸大其词
kdsc 扩大生产
kdww 空洞无物
kdxj 胯下
kdzm 快刀斩乱麻
kdzs 克敌制胜
kekz 柯尔克孜
kf 会
kfa 佧
kfaj 佧
kfcs 开放城市
kff 侩
kffh 侩
kfgs 开发公司
kfh. 会
kfjp 会计
kfjq 会稽
kfjs 会计师
kfjx 会计学
kfjy 会计员
kfk 龛
kfk, 龛
kfkf 侃侃
kfkn 克服困难
kfky 侉
kfl 侃
kflf 傀儡
kflf 伉俪
kflw 侃
kfly 开发利用
kfm 郐
kfo 倥
kfo, 倥
kfsc 开放市场
kfw 傀
kfwn 傀
kfy 伉
kfyh 开发银行
kfyt 伉
kfzc 开放政策
kfzx 开发中心
kfzy 开发资源
kg 困
kg. 睽
kg.e 睽
kgcz 客观存在
kgd 岿
kgdg 蝌蚪
kgdl 开工典礼
kgdn 岿
kgdy 开关电源
kgek 困厄
kgfr 困乏
kgg 髁
kggh 髁
kggl 客观规律
kggs 跨国公司
kggz 凯歌
kgh 眶
kghj 眶
kghz 困惑
kgj 骷
kgjf 困倦
kgjl 骷
kgjn 困局
kgjo 困窘
kgjv 困境
kgk 颗
kgkb 困苦
kgkg 颗
kgkp 眍
kgkq 可歌可泣
kgkv 蝰
kgl 贶
kglg 骷髅
kgli 颗粒
kglt 贶
kgmx 刻骨铭心
kgn 瞰
kgn. 困难
kgnh 困难户
kgns 瞰
kgo 崆
kgo, 崆
kgob 髋
kgq 蝌
kgqd 蝌
kgqk 客观情况
kgqx 蛞
kgru 困扰
kgs 剀
kgsg 瞌睡
kgso 困守
kgss 客观事实
kgsw 客观事物
kgsz 口干舌燥
kgt 凯
kgtj 客观条件
kgv 瞌
kgv. 瞌
kgx 困
kgxy 凯旋
kgyh 困于
kgyx 开国元勋
kgyy 客观原因
kgz 岢
kgzl 岢
kh 开
khb 亏
khb, 开办
khbh 开班
khbj 亏本
khbp 开遍
khbu 开播
khbx 开标
khc. 开叉
khc; 开车
khcb 开场白
khce 开船
khcf 开创
khch 开春
khcj 考核成绩
khcm 开除
khcm 开出
khcq 开采权
khcr 开采
khcv 开场
khcx 开创性
khd, 开刀
khd. 刊登
khd; 开到
khde 亏待
khdh 开动
khdi 开灯
khdi 开道
khdl 宽宏大量
khdn 开导
khdu 开打
khdx 开怀大笑
khdy 开端
khdy 开店
khf, 开发
khf, 刊发
khfb 开发部
khfc 开发出
khff 开发费
khfq 开发区
khfs 开发商
khft 开饭
khfv 开封
khfv 开赴
khfw 客户服务
khfx 开放性
khfy 开放
khgg 开国
khgi 开关
khgj 开工
khgl 开工率
khgt 开馆
khh, 开好
khhb 开花
khhb 开荒
khhe 开航
khhf 开会
khhh 开户行
khhi 开火
khhl 刊号
khhm 开后门
khho 开怀
khhp 开户
khhq 开花期
khjf 开价
khjg 开具
khjh 开进
khji 开卷
khjn 开局
khjp 开讲
khjx 开机
khjy 开奖
khjz 抗洪救灾
khkk 开矿
khkl 开口
khkn 开垦
khko 亏空
khkp 开课
khku 开阔
khl/ 开练
khld 开绿灯
