l 了
l, 力
l,cf 力促
l,cv 力场
l,dy 力度
l,g 娌
l,gh 娌
l,gj 嫘
l,j 姥
l,jk 姥
l,jq 力矩
l,kj 力克
l,l, 姥姥
l,ls 力量
l,qj 力求
l,qq 力气
l,tg 力图
l,xo 力学
l,yr 姥爷
l,zf 力作
l,zt 力争
l,zy 力主
l. 垒
l.; 戮
l.;r 戮
l.qh 垒球
l.qv 垒起
l.t 鹨
l.tp 鹨
l.v 垒
l/ 练
l/;, 练
l/bw 练兵
l/cb 绿茶
l/cb 绿草
l/de 练得
l/di 绿灯
l/dv 绿地
l/dz 绿豆
l/f 纶
l/fd 绿肥
l/ft 纶
l/g 骡
l/gj 练功
l/gj 缧
l/gj 蠡
l/gj 骡
l/hf 绿化
l/i 缕
l/ij 缕
l/j 骊
l/j. 骊
l/jy 练就
l/k 缭
l/ko 缭
l/l/ 缕缕
l/lq 缭乱
l/lx 绿林
l/m/ 骡马
l/mg 绿帽
l/mz 绿帽子
l/n 绿
l/nj 绿
l/p 驴
l/pk 驴
l/pv 邋
l/qi 练拳
l/r/ 缭绕
l/s 缆
l/s/ 缆绳
l/sq 练手
l/sq 缆
l/st 绿色
l/sx 绿树
l/t 络
l/t/ 骆驼
l/tp 骝
l/ts 邋遢
l/tu 绺
l/tv 骆
l/tv 络
l/v 绫
l/vr 绫
l/wh 练武
l/x. 练习
l/xb 练习本
l/xc 练习册
l/xq 练习曲
l/xt 练习题
l/y 缡
l/y/ 络绎
l/yb 绿茵
l/yb 绿荫
l/yc 绿茵场
l/yk 驴友
l/yl 绿叶
l/yr 缡
l/yy 绿油油
l/zc 绿洲
l/zm 驴子
l/zm 骡子
l/zo 练字
l; 连
l;a 轳
l;an 轳
l;bh 轮班
l;ce 轮船
l;ck 连成
l;cu 连闯
l;d; 轮到
l;dc 轮渡
l;dj 连带
l;dm 连队
l;f 轮
l;fr 轮番
l;ft 轮
l;g/ 连贯
l;gg 轮岗
l;hg 轮回
l;hh 连环
l;hh 连环画
l;hl 连呼
l;hu 轮换
l;i 辚
l;ij 辚
l;j 辆
l;j, 辆
l;jh 连击
l;ju 连接
l;jx 轮机
l;ky 轮廓
l;l; 连连
l;lc 轮流
l;lg 连累
l;lh 连理
l;m/ 连绵
l;mo 连忙
l;nq 连年
l;pq 连篇
