m 们
m, 妈
m,/ 姆
m,/y 姆
m,/z 妈
m,b 嫫
m,bs 嫫
m,ct 妙处
m,d 妙
m,di 妙
m,fc 妙法
m,fh 妹夫
m,fy 妙方
m,h 妹
m,hd 妹
m,j 媒
m,ja 媒
m,jf 媒介
m,jk 姥
m,jp 妙计
m,la 妙龄
m,m 媚
m,m, 妈妈
m,m, 妹妹
m,mk 媚
m,pc 媒婆
m,rf 媒人
m,sq 妙手
m,t 娩
m,tf 媒体
m,tg 娩
m,y 嬷
m,yb 妙药
m,yc 嬷
m,yg 媚眼
m,yp 妙语
m,yt 妙用
m,zm 妹子
m,zp 妈祖
m. 矛
m.de 矛盾
m.f 鍪
m.fh 鍪
m.g 瞀
m.gh 瞀
m.gj 蝥
m.gj 蟊
m.lq 牟利
m.mc 矛
m.q 牟
m.qj 牟取
m.qj 牟
m.to 矛头
m/ 乜
m/. 缪
m/.; 缪
m/aj 马鞍
m/ar 母爱
m/as 马鞍山
m/ba 马背
m/bb 绵薄
m/bj 马鞭
m/c; 马车
m/cj 马刺
m/cq 绵长
m/cx 马槽
m/d 糸
m/dh 马大哈
m/di 马灯
m/dj 马丁
m/dk 马达
m/dl 马德里
m/dt 缅甸
m/dv 糸
m/et 马儿
m/fg 马蜂
m/fh 马夫
m/fw 马蜂窝
m/g 缈
m/gh 缈
m/gp 马褂
m/gt 母狗
m/gz 绵亘
m/ha 马虎
m/ho 缅怀
m/hp 马后炮
m/j. 母鸡
m/j/ 马驹
m/jd 马脚
m/jg 马甲
m/k 缅
m/kg 缅
m/kj 马克
m/ks 马克思
m/l, 马力
m/l; 绵连
m/lk 马列
m/ll 马路
m/ls 马拉松
m/ls 马铃薯
m/m/ 绵绵
m/n 缗
m/n, 母女
m/nl 马尼拉
m/nn 缗
m/nq 母牛
m/pe 母盘
m/pn 马屁
m/pz 马匹
m/qh 母亲河
m/qj 母亲节
m/qy 母亲
m/qz 马前卒
m/r; 绵软
m/rg 马肉
m/rr 母乳
m/s 缦
m/sa 马上
m/sg 缦
m/sj 马术
m/sk 马赛克
m/so 马赛
m/tf 母体
m/tl 马蹄
m/tq 马头墙
m/tx 马桶
m/w 绵
m/wn 绵
m/x. 马戏
m/xo 母性
m/xt 马戏团
m/xt 母系
m/xx 母校
m/y 母
m/yc 母夜叉
m/yi 绵羊
m/ym 绵阳
m/yp 母语
m/yv 母
m/yw 绵延
m/z 马
m/zd 马自达
m/zj 马鬃
m/zm 母子
m/zt 母猪
m; 迈
m;, 劢
m;ba 迈步
m;c 万
m;cm 迈出
m;jh 迈进
m;kh 迈开
m;pv 迈
m;rr 迈入
m;xw 迈向
m;zi 迈着
maaz 芈
mb 苗
mb, 募
mb. 茅
mb.m 茅
mb.y 荬
mb/ 蓦
mb/z 蓦
mb; 甍
mb;. 甍
mbb, 买办
mbbb 蒙蔽
mbbk 墓碑
mbbk 幕布
mbbq 买不起
mbbs 莫不是
mbc 茫
mbc; 买车
mbcb 买菜
mbcb 茅草
mbcc 莫测
mbcy 茫
mbd; 买到
mbda 买点
mbde 茅盾
mbdh 萌动
mbdi 买单
mbdi 买断
mbdk 莫大
mbdq 买得起
mbdv 蓦地
mbdv 墓地
mbdy 麻痹大意
mbf 慕
mbf, 萌发
mbfa 莫非
mbfo 慕
mbfp 买房
mbfs 名不副实
mbfy 买方
mbg 幕
mbgb 蘑菇
mbgb 蒙古包
mbgg 芒果
mbgh 苜
mbgh 瞢
mbgj 蒙古
mbgj 苗
mbgk 莫高窟
mbgl 目标管理
mbgr 蒙古人
mbgs 面不改色
mbgx 漠不关心
mbgx 幕
mbgy 莫过于
mbgz 蒙古族
mbh 蒙
mbhd 茉
mbhe 幕后
mbht 蒙
mbjf 募集
mbjh 买进
mbjl 蛮不讲理
mbjo 买家
mbjs 民办教师
mbju 募捐
mbjx 漫不经心
mbjz 名不见经传
mbk 茂
mbk, 茂
mbkf 密不可分
mbkg 颟
mbko 莽
mbkp 蔑
mbkv 茅坑
mbky 妙不可言
mblb 茉莉
mblf 幕僚
mblh 茉莉花
mbll 买来
mbls 民不聊生
mbmb 茫茫
mbmb 蒙蒙
mbmj 买卖
mbmk 蒙面
mbmo 茂密
mbmr 茫茫然
mbms 蒙昧
mbmt ^莫名
mbmt 慕名
mbmx 苗木
mbn 苠
mbnh 慕尼黑
mbnn 苠
mbnq 暮年
mbo 买
mbok 买
mbp/ 蒙骗
mbpg 苗圃
mbpj 买票
mbpx 茅棚
mbq 莓
mbq/ 莓
mbqj 摹
mbqq 暮气
mbr 藐
mbr, 莫如
mbri 藐
mbrr 买入
mbrt 茫然
mbrt 蓦然
mbs 暮
mbs/ 买书
mbsa 蒙上
mbsd 目不识丁
mbsd 萌
mbsf 明辨是非
mbsg 蔓
mbsh 妙笔生花
mbsk 莫
mbsk 茂盛
mbsk 莫斯科
mbsn 莫属
mbso 墓室
mbsp 藐视
mbsp 蔑视
mbsq 萌生
mbsr 蒙受
mbss 美不胜收
mbst 暮色
mbt 茗
mbt. 买通
mbt. 茅台
mbtf 密不透风
mbtj 茅台酒
mbto 苗头
mbtp 鹋
mbtt 茆
mbtt 苗条
mbtt 马不停蹄
mbtv 茗
mbv 墓
mbwn 茅屋
mbxb 苜蓿
mbxc 名不虚传
mbxj 目不暇接
mbxk 芒硝
mbxo 墓穴
mbxp 摹写
mbxs 目不斜视
mbxy 莫须有
mby 蘑
mbyb 萌芽
mbyb 芒
mbyc 蘼
mbyc 蘑
mbyw 蔓延
mbzb 墓葬
mbzg 买账
mbzh 满不在乎
mbzi 蒙着
mbzj 目不转睛
mbzl 绵薄之力
mbzm 苗子
mbzs 默不作声
mbzu 莽撞
mbzy 买主
mbzy 蒙族
mbzy 苗族
mc 没
mcaf 明察暗访
mcb 满
mcba 漫步
mcbf 没办法
mcbj 满
mcbk 漭
mcbp 濛
mcbs 漠
mcbu 没把
mcby 没必要
mccq 漫长
mccx 没出息
mccz 没错
mcdh 没动
mcdj 没多久
mcds 没得说
mcdv 满地
mcdy 没底
mcfc 没法
mcfh 满负荷
mcfr 满分
mcfy 满城风雨
mcg 渺
mcgh 渺
mcgn 没敢
mcgs 莫测高深
mcgx 没关系
mch 沫
mchd 沫
mchm 谋财害命
mcho 满怀
mchp 漫话
mchq 没好气
mchz 漫画
mcj 沔
mcj. 没劲
mcj/ 沔
mcje 满街
mck 湎
mckg 湎
mckl 满口
mcl 渑
mclb 没落
mcld 满脸
mclg 渑
mcll 没来
mcm 湄
mcmb 渺茫
mcmc 漫漫
mcmf 没命
mcmg 满目
mcmk 满面
mcmk 湄
mcml 漫骂
mcml 泯灭
mcmu 没门
mcn 泯
mcn. 没能
mcnn 泯
mcnw 没齿难忘
mcp 泌
mcpi 泌
mcpn 满屏
mcpo 懑
mcps 溟
mcqc 满清
mcqd 满腔
mcqh 明察秋毫
mcqj 满期
mcqs 名垂青史
mcqv 没趣
mcrf 没人
mcrt 漠然
mcs 漫
mcs 汨
mcsg 漫
mcsj 没事
mcsm 没什么
mcsm 没收
mcsp 漠视
mcsq 满手
mcsw 名存实亡
mcsy 漫长岁月
mct 浼
mct. 没
mctf 满堂
mctg 浼
mcth 漫天
mcth 满天
