o 我
ob 藕
obfi 藕粉
obhb 藕荷
obhj 藕
oc 沤
ockp 沤
odsl 藕断丝连
of 偶
ofde 偶得
ofet 偶尔
off, 偶发
ofgh 偶
ofrt 偶然
ofrx 偶然性
ofsi 偶数
ofxf 偶像
ofyg 偶遇
oh 耦
ohgh 耦
ohhf 耦合
ok 欧
ok; 瓯
ok;. 瓯
okdu 殴打
okgt 欧共体
okhf 欧化
oklb 欧罗巴
okm, 欧姆
okmi 欧美
okms 欧盟
okpk 欧佩克
oksz 欧式
okt 殴
okt. 殴
oktf 欧
oktp 鸥
okyh 欧元
okyj 欧亚
okym 欧阳
okzc 欧洲
okzr 欧洲人
ol 哦
olk 呕
olkp 呕
oln 喔
olnq 喔
olqa 哦
oltl 呕吐
olw 噢
olw. 噢
oo 怄
oobd 。
oobd ，
oobd 、
oobd ；
oobd ：
oobd ？
oobd ！
oobd …
oobd —
oobd ·
oobd ˉ
oobd ˇ
oobd ¨
oobd ‘
oobd ’
oobd “
oobd ”
oobd 々
oobd ～
oobd ‖
oobd ∶
oobd ＂
oobd ＇
oobd ｀
oobd ｜
oobd 〔
oobd 〕
oobd 〈
oobd 〉
oobd 《
oobd 》
oobd 「
oobd 」
oobd 『
oobd 』
oobd ．
oobd 〖
oobd 〗
oobd 【
oobd 】
oobd （
oobd ）
oobd ［
oobd ］
oobd ｛
oobd ｝
oode А
oode Б
oode В
oode Г
oode Д
oode Е
oode Ж
oode З
oode И
oode Й
oode К
oode Л
oode М
oode Н
oode О
oode П
oode Р
oode С
oode Т
oode У
oode Ф
oode Х
oode Ц
oode Ч
oode Ш
oode Щ
oode Ъ
oode Ы
oode Ь
oode Э
oode Ю
oode Я
oode Ё
oodl Ⅰ
oodl Ⅱ
oodl Ⅲ
oodl Ⅳ
oodl Ⅴ
oodl Ⅵ
oodl Ⅶ
oodl Ⅷ
oodl Ⅸ
oodl Ⅹ
oodl Ⅺ
oodl Ⅻ
oods ⒈
oods ⒉
oods ⒊
oods ⒋
oods ⒌
oods ⒍
oods ⒎
oods ⒏
oods ⒐
oods ⒑
oods ⒒
oods ⒓
oods ⒔
oods ⒕
oods ⒖
oods ⒗
oods ⒘
oods ⒙
oods ⒚
oods ⒛
oodw ㎎
oodw ㎏
oodw ㎜
oodw ㎝
oodw ㎞
oodw ㎡
oodw ㏄
oodw ㏎
oodw ㏑
oodw ㏒
oodw ㏕
oodw °
oodx Α
oodx Β
oodx Γ
oodx Δ
oodx Ε
oodx Ζ
oodx Η
oodx Θ
oodx Ι
oodx Κ
oodx Λ
oodx Μ
oodx Ν
oodx Ξ
oodx Ο
oodx Π
oodx Ρ
oodx Σ
oodx Τ
oodx Υ
oodx Φ
oodx Χ
oodx Ψ
oodx Ω
oofs ⑴
oofs ⑵
oofs ⑶
oofs ⑷
oofs ⑸
oofs ⑹
oofs ⑺
oofs ⑻
oofs ⑼
oofs ⑽
oofs ⑾
oofs ⑿
oofs ⒀
oofs ⒁
oofs ⒂
oofs ⒃
oofs ⒄
oofs ⒅
oofs ⒆
oofs ⒇
oohb ＄
oohb ￠
oohb ￡
oohb ￥
oohb ¤
oojp ァ
oojp ア
oojp ィ
oojp イ
oojp ゥ
oojp ウ
oojp ェ
oojp エ
oojp ォ
oojp オ
oojp カ
oojp ガ
oojp キ
oojp ギ
oojp ク
oojp グ
oojp ケ
oojp ゲ
oojp コ
oojp ゴ
oojp サ
oojp ザ
oojp シ
oojp ジ
oojp ス
oojp ズ
oojp セ
oojp ゼ
oojp ソ
oojp ゾ
oojp タ
oojp ダ
oojp チ
oojp ヂ
oojp ッ
oojp ツ
oojp ヅ
oojp テ
oojp デ
oojp ト
oojp ド
oojp ナ
oojp ニ
oojp ヌ
oojp ネ
oojp ノ
oojp ハ
oojp バ
oojp パ
oojp ヒ
oojp ビ
oojp ピ
oojp フ
oojp ブ
oojp プ
oojp ヘ
oojp ベ
oojp ペ
oojp ホ
oojp ボ
oojp ポ
oojp マ
oojp ミ
oojp ム
oojp メ
oojp モ
oojp ャ
oojp ヤ
oojp ュ
oojp ユ
oojp ョ
oojp ヨ
oojp ラ
oojp リ
oojp ル
oojp レ
oojp ロ
oojp ヮ
oojp ワ
oojp ヰ
oojp ヱ
oojp ヲ
oojp ン
oojp ヴ
oojp ヵ
oojp ヶ
oojp ー
oojp ヽ
oojp ヾ
oojt →
oojt ↑
oojt ←
oojt ↓
oojt ↖
oojt ↗
oojt ↘
oojt ↙
ookp 怄
oopj ぁ
oopj あ
oopj ぃ
oopj い
oopj ぅ
oopj う
oopj ぇ
oopj え
oopj ぉ
oopj お
oopj か
oopj が
oopj き
oopj ぎ
oopj ぱ
oopj く
oopj ぐ
oopj け
oopj げ
oopj こ
oopj ご
oopj さ
oopj ざ
oopj し
oopj じ
oopj す
oopj ず
oopj せ
oopj ぜ
oopj そ
oopj ぞ
oopj た
oopj だ
oopj ち
oopj ぢ
oopj っ
oopj つ
oopj づ
oopj て
oopj で
oopj と
oopj ど
oopj な
oopj に
oopj ぬ
oopj ね
oopj の
oopj は
oopj ば
oopj ひ
oopj び
oopj ぴ
oopj ふ
oopj ぶ
oopj ぷ
oopj へ
oopj べ
oopj ぺ
oopj ほ
oopj ぼ
oopj ぽ
oopj ま
oopj み
oopj む
oopj め
oopj も
oopj ゃ
oopj や
oopj ゅ
oopj ゆ
oopj ょ
oopj よ
oopj ら
oopj り
oopj る
oopj れ
oopj ろ
oopj ゎ
oopj わ
oopj ゐ
oopj ゑ
oopj を
oopj ん
oopj ゛
oopj ゜
oopj ゝ
oopj ゞ
oopp 勹
oopp 灬
oopp 冫
oopp 艹
oopp 屮
oopp 辶
oopp 刂
oopp 匚
oopp 阝
oopp 廾
oopp 丨
oopp 虍
oopp 彐
oopp 卩
oopp 钅
oopp 冂
oopp 冖
oopp 宀
oopp 疒
oopp 肀
oopp 丿
oopp 攵
oopp 凵
oopp 犭
oopp 亻
oopp 彡
oopp 饣
oopp 礻
oopp 扌
oopp 氵
oopp 纟
oopp 亠
oopp 囗
oopp 忄
oopp 讠
oopp 衤
oopp 廴
oopp 尢
oopp 夂
oopp 丶
oopp 丬
oopy ā
oopy á
oopy ǎ
oopy à
oopy ō
oopy ó
oopy ǒ
oopy ò
oopy ê
oopy ē
oopy é
oopy ě
oopy è
oopy ī
oopy í
oopy ǐ
oopy ì
oopy ǖ
oopy ǘ
oopy ǚ
oopy ǜ
oopy ü
oopy ū
oopy ú
oopy ǔ
oopy ù
ooqq 怄气
oosx ＋
oosx －
oosx ＜
oosx ＝
oosx ＞
oosx ±
oosx ×
oosx ÷
oosx ∈
oosx ∏
oosx ∑
oosx ∕
oosx √
oosx ∝
oosx ∞
oosx ∟
oosx ∠
oosx ∣
oosx ∥
oosx ∧
oosx ∨
oosx ∩
oosx ∪
oosx ∫
oosx ∮
oosx ∴
oosx ∵
oosx ∶
oosx ∷
oosx ∽
oosx ≈
oosx ≌
oosx ≒
oosx ≠
oosx ≡
oosx ≤
oosx ≥
oosx ≦
oosx ≧
oosx ≮
oosx ≯
oosx ⊕
oosx ⊙
oosx ⊥
oosx ⊿
oots ℃
oots °
oots §
oots №
oots ☆
oots ★
oots ○
oots ●
oots ◎
oots ◇
oots ◆
oots □
oots ■
oots △
oots ▲
oots ※
oots 〓
oots ＃
oots ＆
oots ＠
oots ＼
oots ＾
oots ＿
oots ￣
ooxe а
ooxe б
ooxe в
ooxe г
ooxe д
ooxe е
ooxe ж
ooxe з
ooxe и
ooxe й
ooxe к
ooxe л
ooxe м
ooxe н
ooxe о
ooxe п
ooxe р
ooxe с
ooxe т
ooxe у
ooxe ф
ooxe х
ooxe ц
ooxe ч
ooxe ш
ooxe щ
ooxe ъ
ooxe ы
ooxe ь
ooxe э
ooxe ю
ooxe я
ooxe ё
ooxl ⅰ
ooxl ⅱ
ooxl ⅲ
ooxl ⅳ
ooxl ⅴ
ooxl ⅵ
ooxl ⅶ
ooxl ⅷ
ooxl ⅸ
ooxl ⅹ
ooxs α
ooxs β
ooxs γ
ooxs δ
ooxs ε
ooxs ζ
ooxs η
ooxs ι
ooxs κ
ooxs λ
ooxs μ
ooxs ν
ooxs ξ
ooxs ο
ooxs π
ooxs ρ
ooxs σ
ooxs τ
ooxs υ
ooxs φ
ooxs θ
ooxs ψ
ooxs ω
ooys ①
ooys ②
ooys ③
ooys ④
ooys ⑤
ooys ⑥
ooys ⑦
ooys ⑧
ooys ⑨
ooys ⑩
oozs ㈠
oozs ㈡
oozs ㈢
oozs ㈣
oozs ㈤
oozs ㈥
oozs ㈦
oozs ㈧
oozs ㈨
oozs ㈩
oozy ㄅ
oozy ㄆ
oozy ㄇ
oozy ㄈ
oozy ㄉ
oozy ㄊ
oozy ㄋ
oozy ㄌ
oozy ㄍ
oozy ㄎ
oozy ㄏ
oozy ㄐ
oozy ㄑ
oozy ㄒ
oozy ㄓ
oozy ㄔ
oozy ㄕ
oozy ㄖ
oozy ㄗ
oozy ㄘ
oozy ㄙ
oozy ㄧ
oozy ㄨ
oozy ㄩ
oozy ㄚ
oozy ㄛ
oozy ㄜ
oozy ㄝ
oozy ㄞ
oozy ㄟ
oozy ㄠ
oozy ㄡ
oozy ㄢ
oozy ㄣ
oozy ㄤ
oozy ㄥ
oozy ㄦ
op 讴
opgz 讴歌
opkp 讴
oxlx 呕心沥血
oywz 偶一为之
oz 区
ozgt 欧洲共同体
ozjt 欧洲经济共同体
ozlm 欧洲联盟
