p 平
p, 皮
p,bj 皮鞭
p,bt 皮包
p,c, 嫖娼
p,cn 皮层
p,dj 皮带
p,dl 皮带轮
p,dt 颇多
p,f, 嫔妃
p,fb 皮肤病
p,fd 皮肤
p,fh 颇丰
p,fn 颇费
p,g 娉
p,gj 皮革
p,gj 娉
p,gk 颇感
p,gv 皮
p,gy 颇高
p,hf 皮货
p,i 姘
p,ih 姘
p,j 嫖
p,jg 颇具
p,jl 皮夹
p,jm 嫖
p,jn 姘居
p,jq 皮筋
p,k 颇
p,kg 颇
p,ko 嫖客
p,mi 媲美
p,mq 皮毛
p,mx 皮棉
p,n 妃
p,nb 妃
p,o 嫔
p,o, 嫔
p,qh 皮球
p,rg 皮肉
p,sf 颇似
p,sr 颇受
p,te 皮艇
p,to 姘头
p,w 媲
p,w, 媲
p,wi 颇为
p,xj 皮鞋
p,xn 皮屑
p,xq 皮箱
p,yi 皮炎
p,yk 颇有
p,yx 皮影戏
p,yy 皮衣
p,zd 皮脂
p,ze 皮质
p,zm 皮子
p,zx 皮脂腺
p/ 骗
p/; 纰
p/;t 纰
p/f 缏
p/fj 缏
p/i 骈
p/ih 骈
p/j 缥
p/jm 骠
p/jm 缥
p/jn 骗局
p/lc 纰漏
p/m/ 缥缈
p/pk 骗
p/q/ 骠骑
p/qj 骗取
p/qz 骗钱
p/rf 骗人
p/sj 骗术
p/sq 骗税
p; 辔
p;l 辔
pa 频
pa. 攴
pacy 频次
pada 频点
padi 频道
padj 频带
padw 频段
pady 频度
paeq 拍案而起
pafq 频繁
pajj 拍案叫绝
pakg 频
paly 频率
papa 频频
papp 频谱
paw 颦
pawn 颦
paws 平安无事
pay 裴
payt 裴
pb 萍
pb; 芘
pb;t 芘
pbbj 蓬勃
pbbk 疲惫不堪
pbc 蒲
pbce 蒎
pbcj 蒲
pbcl 萍
pbcz 普遍存在
pbdy 迫不得已
pbel 扑鼻而来
pbfz 蓬勃发展
pbgg 苹果
pbgl 普遍规律
pbgt 皮包骨头
pbgy 蒲公英
pbj 莆
pbjd 迫不及待
pbjj 贫病交加
pbjn 莆
pbjs 拼搏精神
pbk 苤
pbkf 苤
pbl 苹
pblb 蓬莱
pblq 苹
pbqy 平步青云
pbr 蕃
pbrq 蕃
pbsb 菩萨
pbsp 蒲扇
pbsx 蓬松
pbt 蓬
pbtb 葡萄
pbtg 葡萄干
pbtj 葡萄酒
pbtj 葡
pbtt 葡萄糖
pbtu 菩提
pbty 葡萄牙
pbty 蓬
pbw 葩
pbwg 平白无故
pbwn 葩
pbx/ 萍乡
pby 菩
pbyi 菩
pbyy 普遍意义
pbzl 普遍真理
pc 派
pc, 婆
pc,. 泼
pc,z 婆
pcbc 漂泊
pcbf 漂白粉
pcbj 漂白剂
pcbk 瀑布
pcbl 派别
pcbw 漂白
pcbw 派兵
pccb 泡茶
pccb 泡菜
pccm 派出
pccs 派出所
pcd. 派对
pcd; 浦东
pcet 派
pcf 濮
pcf, 派发
pcfc 漂浮
pcfs 濮
pcft 泡饭
pcg 淠
pcgj 淠
pcgy 浦公英
pchc 澎湖
pci 泮
pcih 泮
pcj 漂
pcjm 沛
pcjm 漂
pcjn 浦
pcjn 溥
pcjo 婆家
pcjz 澎
pckq 泊靠
pclc 漂流
pclh 潘琳
pcll 派来
pclm 婆罗门
pcls 泼冷水
pcly 漂亮
pcly 泼辣
pcmc 泡沫
pcmg 泼墨
pcmx 破除迷信
pcn, 泡妞
pcn, 婆娘
pcpc 澎湃
pcpc 婆婆
pcq 湃
pcqg 派遣
pcqk 湃
pcqv 派去
pcr 潘
pcr, 湓
pcrf 派人
pcrq 潘
pcs 瀑
pcsa 派上
pcsc 婆娑
pcsj 泼水节
pcsj 瀑
pcsq 派生
pcss 赔偿损失
pct 泡
pctc 泡汤
pctc 滂沱
pctn 泡
pcto 派头
pcw 泊
pcwe 派往
pcwn 排除万难
pcwn 泊
pcx, 婆媳
pcxt 派系
pcy 滂
pcyi 滂
pcyl 派员
pcym 濮阳
pcyq 漂移
pcys 泡影
pcz/ 派驻
pczk 泡在
pczr 赔偿责任
pd 胖
pdd 朋
pddk 膨大
pdgd 膀胱
pdhf 膨化
pdhl 平等互利
pdi 胼
pdih 胖
pdih 胼
pdj 膨
pdjn 脯
pdjz 膨
pdk 胚
pdkf 胚
pdnl 判断能力
pdql 平等权利
pdqq 脾气
pdr 脬
pdri 脬
pdrr 胚乳
pdsy 胖瘦
pdt 鹏
pdtd 胚胎
pdtp 鹏
pdw 脾
pdwg 脾胃
pdwn 脾
pdxo 脾性
pdy 膀
pdyb 胚芽
pdyi 膀
pdyk 朋友
pdym 朋友们
pdzd 膨胀
pdzm 胖子
pe 盘
pea 徘
peah 徘
pebn 盘剥
pec/ 盘缠
peck 盘存
pecm 爬出
pecx 盘查
ped; 爬到
peda 盘点
pefq 盘符
pegj 盘古
pegs 盘
pehc 盘活
pehe 徘徊
pehe 彷徨
pehx 盘桓
pejl 盘踞
pejz 盘锦
pek 磐
pekl 磐
pem 爬
pem; 爬
pemk 盘面
pepv 爬坡
pepw 盘片
peqg 盘曲
peqv 爬起
per/ 盘绕
pesa 爬上
pesg 爬山
pesh 爬山虎
pesk 磐石
pesq 盘算
pesq 爬升
pesx 爬树
petd 盘腿
petm 盘陀
pewu 盘问
pexd 盘膝
pexe 爬行
pexy 盘旋
pey 彷
pey, 彷
pezc 盘中餐
pezm 盘子
pf 凭
pf; 仳
pf;t 仳
pfa 俳
pfah 俳
pfar 偏爱
pfbk 偏不
pfci 偏差
pfcj 贫富差距
pfcz 破釜沉舟
pfdf 偏低
pfdj 佩戴
pfdk 偏大
pfdl 凭吊
pfdt 偏多
pfdx 捧腹大笑
pff 仆
pffd 佩服
pffy 偏方
pffy 偏废
pffz 偏锋
pfg 俜
pfgj 俜
pfgl 平方公里
pfgy 偏高
pfh, 偏好
pfhs 蚍蜉撼树
pfj 便
pfjc 偏激
pfjf 凭借
pfjg 偏见
pfjh 僻静
pfjn 便
pfju 凭据
pfjy 普法教育
pfko 凭空
pfly 偏离
pfn 僻
pfnc 僻
pfp 偏
pfp, 偏颇
pfpf 偏僻
pfpf 偏偏
pfpk 偏
pfpy 偏旁
pfqj 偏巧
pfqs 平分秋色
pfrf 仆人
pfsa 偏上
pfsc 批发市场
pfsd 偏少
pfsf 偏食
pfsr 票房收入
pfss 偏是
pft 佩
pft 凭
pftj 佩
pftp 偏袒
pfty 偏瘫
pfv 堡
pfxd 偏小
pfxj 偏下
pfxp 偏心
pfxt 偏狭
pfxw 偏向
pfyh 偏远
pfyj 偏要
pfyo 便宜
pfyq 偏移
pfyz 匹夫有责
pfz; 偏转
pfzg 偏振光
pfzg 偏置
pfzi 凭着
pfzp 凭证
pfzq 偏重
pfzu 偏执
pfzu 偏振
pfzy 偏重于
pfzz 颇费周折
pg 盼
pg, 帔
pg,g 帔
pg; 毗
pg;t 蚍
pg;t 毗
pgbj 赔本
pgbs 赔不是
pgcf 赔偿
pgcj 赔偿金
pgcj 盘根错节
pgff 赔付
pgi 畔
pgih 畔
pgj 瞟
pgjm 螵
pgjm 瞟
pgjn 圃
pgjs 帕金森
pgjz 蟛
pgkj 赔款
pgl; 毗连
pgld 披肝沥胆
pglf 毗邻
pglp 赔礼
pglq 破格录取
pgly 赔率
pgnl 屁滚尿流
pgps 破罐破摔
pgqz 赔钱
pgr 蟠
pgr, 盼
pgrq 蟠
pgsz 披挂上阵
pgto 盼头
pgv 罴
pgv. 罴
pgw 帕
pgwd 刨根问底
pgwn 睥
pgwn 蜱
pgwn 帕
pgwy 盼望
pgxc 蟠溪
pgxt 螃蟹
pgy 赔
pgyi 螃
pgyi 赔
pgzg 赔罪
ph 璞
ph; 琵
ph;t 琵
phbd 飘忽不定
phhd 破坏活动
phld 澎湖列岛
phm 耙
phm; 琶
phm; 耙
phph 琵琶
phsi 璞
phw 珀
phwn 珀
phy 耪
phyi 耪
pi 普
pi; 瓶
pi;. 瓶
piao 判案
pibl 判别
pibp 普遍
pibw 炮兵
pibx 普遍性
piby 叛变
pict 判处
picx 普查
pidf 叛党
pidi 判断
pidl 判断力
pido 判定
pie 叛
pie. 叛
pifc 普法
pifg 判罚
pifz 叛匪
pig 瞥
pigg 叛国
pigh 瞥
pigo 判官
pih; 炮轰
pihi 炮火
pihk 炮灰
pij. 瓶颈
pije 炮舰
pijf 普金
pijg 瞥见
pijh 炮击
pijl 普及率
pijm 普降
pijp 叛军
pijs 判决书
pijt 普及
pijx 普及型
pijy 判决
piko 普快
pilf 判例
pilq 叛乱
pilx 炮楼
pily 叛离
pims 判明
pimz 普米族
pini 叛逆
pis 判
pis 普
pisj 炮声
pit 炮
pit. 普通
pite 叛徒
pith 普通话
pitm 普陀
pitn 炮
pitr 叛逃
pits 普陀山
pitx 普天下
piw 粕
piwn 粕
pixh 判刑
pixq 普选
pixs 普贤
pizg 判罪
pizm 瓶子
pizq 炮制
pizs 普照
pizy 瓶装
pj 票
pjbk 破旧不堪
pjbt 配备
pjcg 瓢虫
pjcm 飘出
pjcy 破镜重圆
pjd. 配对
pjdb 飘荡
pjdg 配电
pjdh 飘动
pjdj 飘带
pjdu 配搭
pje 彭
pje. 瓢
pjec 彭
pjeo 配额
pjeo 票额
pjf, 配发
pjfc 飘浮
pjfp 票房
pjfp 平均分配
pjfy 配方
pjfz 票贩子
pjg 聘
pjg/ 配给
pjgd 配股
pjgj 聘
pjgx 票根
pjh, 配好
pjh/ 飘红
pjhd 票
pjhf 配合
pjho 剽悍
pjht 飘忽
pjjf 配件
pjjf 票价
pjjg 平均价格
pjjh 飘进
pjjt 配角
pjju 票据
pjlb 飘落
pjli 配料
pjll 飘零
pjlp 聘礼
pjlx 破旧立新
pjmk 票面
pjn 配
pjnb 配
pjof 配偶
pjpj 飘飘
pjpr 飘飘然
pjqj 聘期
pjqo 剽窃
pjqp 聘请
pjrf 聘任
pjrt 飘然
pjrz 聘任制
pjs 剽
pjs/ 聘书
pjsa 配上
pjsc 飘洒
pjsf 配售
pjsi 配送
pjsj 飘散
pjsn 配属
pjsp 平均水平
pjst 配色
pjt 飘
pjtg 配图
pjtk 配套
pjtr 飘
pjw 鼙
pjwi 聘为
pjwn 鼙
pjwq 飘舞
pjwt 票务
pjwy 配文
pjxj 飘下
pjxl 飘雪
pjxq 飘香
pjy 醅
pjy/ 聘约
pjyb 配药
pjyi 醅
pjyk 票友
pjyk 配有
pjyt 聘用
pjyt 飘逸
pjyu 飘扬
pjyu 飘摇
pjyy 配音
pjyz 聘用制
pjzg 配置
pjzi 飘着
pjzj 披荆斩棘
pjzk 飘在
pjzm 票子
pjzp 票证
pjzq 配制
pjzy 平均主义
pjzz 平均增长
pk 破
pk,g 破
pk; 砒
pk;t 砒
pkao 破案
pkbg 破败
pkbk 磅礴
pkbn 碰壁
pkbx 碰杯
pkcg 破财
pkcm 破除
pkcy 破产
pkd 硼
pkd; 碰到
pkdd 硼
pkdm 破口大骂
pkdq 贫困地区
pkdz 碰钉子
pkfn 破费
pkgx 破格
pkhb 破获
pkhl 破坏力
pkhv 破坏
pkhx 破坏性
pki 碰
pkij 碰
pkjg 碰见
pkjl 破纪录
pkjt 破解
pkjx 破旧
pkjz 破戒
pkkl 破口
pkl 否
pklb 破落
pklf 破例
pkli 破烂
pklk 破裂
pklq 砰
pklx ^破浪轩
pkm 邳
pkmk 碰面
pkml 破灭
pkmu 破门
pknz 凭空捏造
pkpk 磅礴
pkpk 碰碰
pkqj 碰巧
pkr 殍
pkri 殍
pkrq 磻
pkrz 皮开肉绽
pksa 碰上
pksf 破伤风
pksj 硼酸
pksk 破碎
pksl 砒霜
pksu 破损
pkt 匏
pkth 破天荒
pktn 匏
pkto 碰头
pktv 破土
pkxc 磻溪
pkxs 破晓
pky 磅
pkyi 磅
pkyp 破译
pkyq 碰运气
pkz 丕
pkz/ 破绽
pkzh 破折号
pkzi 碰着
pkzu 碰撞
pl 品
pl; 吡
pl;t 吡
plao 平安
play 平安夜
plb 蹒
plba 跑步
plbj 蹒
plbk 平布
plbp 跑遍
plbx 平板
plc 霈
plc; 跑车
plcb 品茶
plcf 平常
plcf 品尝
plcj 霈
plcl 噗哧
plcm 喷出
plcw 平川
plcx 平常心
pld; 跑到
pldc 平淡
plde 品德
pldh 跑动
pldi 跑道
pldj 平顶
pldo 平定
pldp 平调
pldq 平等
plds 平顶山
pldu 跑掉
pldv 平地
pldy 平度
ple 哌
plet 哌
plf, 喷发
plfb 赔了夫人又折兵
plfe 平反
plff 攀龙附凤
plfg 平方根
plfm 平方米
plfp 平房
plfq 平复
plfr 平分
plft 平凡
plfy 平方
plgc 喷灌
plgr 平谷
plgx 品格
plh/ 喷绘
plh/ 平缓
plhb 平衡表
plhc 平滑
plhd 平衡点
plhe 平衡
plhg 跑回
plhi 喷火
plhj 平滑肌
plhm 平衡木
plhq 平和
plhs 平湖市
plj 喷
pljb 喷
pljc 啤酒
pljf 平价
pljh 平静
pljj 啤酒节
pljm 嘌
pljn 平局
pljs 平均数
pljv 平均
pljz 嘭
plk 呸
plkf 呸
plkh 跑开
pllc 平流层
plll 霹雳
plll 跑来
plll 品
pllt 跑龙套
pllw 霹雳舞
plly 平凉
plm/ 跑马
plmb 品茗
plmg 喷墨
plmi 平米
plmj 平面镜
plmk 平面
plmn 平民
plmt 平面图
plmt 品名
pln 霹
plnc 噼
plnc 霹
plp 蹁
plpi 平叛
plpk 蹁
plpl 啪啪
plpp 品评
plpq 跑来跑去
plpw 品牌
plpz 平铺
plqc 喷漆
plqj 喷气机
plqq 喷气
plqs 喷气式
plqv 跑去
plqw 喷泉
plqx 平
plr 趴
plr/ 平绒
plrs 平日
plrv 平壤
pls 噗
plsc 喷洒
plsg 喷水
plsh 平素
plsi 蹼
plsi 噗
plsl 蹒跚
plso 平实
plsp 平视
plsq 平生
plss 平时
plsw 喷射
plt 跑
plt. 平台
pltc 喷涂
pltc 平添
pltd 跑腿
pltl 喷嚏
pltn 咆
pltn 跑
plto 平头
pltv 平坦
pltw 平躺
plu 啪
pluw 啪
plw 啤
plw/ 平纹
plwf 品位
plwl 品味
plwn 啤
plwq 平稳
