s 是
s, 始
s,, 劭
s,. 姒
s,.f 姒
s,.l 始
s,bk 恕不
s,f, 始发
s,jy 始建于
s,k 娠
s,kh 娠
s,l 召
s,lm 孀
s,m 邵
s,mh 始末
s,o 婶
s,om 婶
s,p 恕
s,po 恕
s,q 姝
s,qj 姝
s,s, 嫂嫂
s,s, 婶婶
s,t 姗
s,tt 姗
s,tv 妁
s,w 嫂
s,w; 嫂
s,y 嬗
s,yg 嬗
s,yh 始于
s,z/ 始终
s,zb 始终把
s,zg 恕罪
s,zm 嫂子
s,zp 始祖
s. 厶
s.. 双
s.b, 双边
s.bf 双倍
s.bj 双鬓
s.bl 圣保罗
s.bm 桑巴
s.bn 双臂
s.bt 双胞胎
s.bw 桑巴舞
s.ch 桑蚕
s.cj 双翅
s.ck 双唇
s.cn 双层
s.cq 双重
s.cv 圣城
s.cx 双重性
s.dj 圣诞节
s.dp 圣诞
s.ds 圣诞树
s.du 双打
s.dv 圣地
s.dy 双端
s.e 参
s.ec 参
s.ff 双份
s.fs 双丰收
s.fy 双方
s.fz 双方在
s.g; 双轨
s.gh 双规
s.gi 双关
s.gu 双拐
s.gx 双杠
s.gy 双关语
s.gz 双轨制
s.h 叁
s.hi 圣火
s.hq 双簧
s.hx 双核
s.hz 叁
s.j/ 圣经
s.jc 圣洁
s.jd 双脚
s.jg 双节棍
s.jh 双击
s.jp 双肩
s.jx 双机
s.jz 双键
s.k 颡
s.kg 颡
s.li 双料
s.lk 双龙
s.m/ 圣母
s.mg 双目
s.mm 双眉
s.n, 圣女
s.nf 桑拿
s.pu 双拼
s.q 毵
s.q; 毵
s.qf 双全
s.qi 双拳
s.qx 双曲线
s.qy 双亲
s.r, 双刃
s.rb 参茸
s.rf 圣人
s.rj 双刃剑
s.rs 双日
s.s. 双双
s.sb 桑葚
s.si 双数
s.sq 双手
s.sx 桑树
s.td 双腿
s.tn 桑塔纳
s.v 圣
s.wy 双亡
s.x 桑
s.x/ 双线
s.xd 双膝
s.xf 双休
s.xj 双喜
s.xk 双雄
s.xr 双休日
s.xs 圣贤
s.xw 双向
s.xx 双相
s.yg 双眼
s.yk 双月刊
s.yl 桑叶
s.yp 双语
s.ys 双鸭山
s.yu 双拥
s.yy 双赢
s.za 圣战
s.zf 双掌
s.zg 双职工
s.zt 圣旨
s/ 书
s/, 绍
s/,l 绍
s/. 骚
s/.m 纾
s/.u 骚
s// 缫
s//m 缫
s/b/ 缩编
s/bj 书本
s/bk 纱布
s/bl 书吧
s/bt 书包
s/bu 书报
s/c/ 丝绸
s/ck 纱厂
s/cm 驶出
s/co 纱窗
s/d 纱
s/dh 骚动
s/di 纱
s/dq 缩短
s/dy 书店
s/f 绱
s/f 书
s/fc 书法
s/fj 书法家
s/fp 书房
s/fw 绱
s/fy 缩放
s/g 驶
s/ge 丝瓜
s/gf 丝光
s/gh 绅
s/gj 缌
s/gk 驶
s/gq 书稿
s/gt 驷
s/gx 书柜
s/hf 绥化
s/hy 丝毫
s/hz 书画
s/i 缮
s/ih 缮
s/j, 书架
s/jc 书记处
s/jg 纱巾
s/jh 驶进
s/jj 缩聚
s/jn 书局
s/jo 书家
s/jp 书记
s/jq 书籍
s/jq 书简
s/jy 缩减
s/kh 书刊
s/ky 书库
s/l 绳
s/lg 书里
s/lg 绳
s/ll 缲
s/lq 骚乱
s/lt 缩略图
s/mg 书目
s/mk 书面
s/mt 书名
s/mx 丝棉
s/o 缩
s/ob 缩
s/p 骟
s/pk 骟
s/pp 书评
s/qq 书签
s/qv 驶去
s/r 绥
s/r/ 丝绒
s/ri 绶
s/ri 绥
s/rr 驶入
s/ru 骚扰
s/s/ 丝丝
s/sa 书上
s/sg 缩水
s/sj 绅士
s/sj 绳索
s/sq 书生
s/sy 书市
s/t 鸶
s/tp 鸶
s/tu 书摊
s/we 驶往
s/we 缩微
s/wn 书屋
s/wp 丝袜
s/x/ 纱线
s/x/ 丝线
s/xd 缩小
s/xf 书信
s/xo 绍兴
s/xp 书写
s/xp 缩写
s/xq 书香
s/xw 驶向
s/ym 书院
s/ys 缩影
s/yt 缩印
s/z 丝
s/z/ 丝织
s/za 书桌
s/ze 丝质
s/zg 书中
s/zm 绳子
s/zn 书展
s/zp 丝织品
s/zq 丝竹
s/zy 丝状
s; 输
s;cg 输出国
s;cm 输出
s;dg 输电
s;du 输掉
s;fz 输
s;g/ 输给
s;gf 输光
s;h 轼
s;ha 轼
s;jg 输精管
s;jo 输家
s;lg 输卵管
s;ng 输尿管
s;qh 输球
s;rf 输入法
s;rr 输入
s;si 输送
s;xw 输血
s;yc 输液
s;yg 输油管
s;yq 输氧
s;yy 输赢
sa 上
sa. 叔
saag 上岸
sab, 上边
sabb 上半部
sabc 上半场
sabh 上班
sabi 上半
sabk 上百
sabn 上半年
sabo 上宾
sabs 上半时
sabu 上报
saby 上部
sac; 上车
sacb 上苍
sace 上船
sacf 上传
sack 上唇
sacn 上层
sacq 上策
sacq 上乘
sact 上册
sacv 上场
sacy 上次
sadf 上当
sadk 上达
sadl 上吊
sadp 上调
sadq 上等
sady 上帝
safc 上浮
safp 上访
safr 叔父
saft 上风
safv 上坟
safy 上方
sagg 上岗
sagj 上古
sago 上官
sagq 上告
sagy 上个月
sagz 上钩
sah, 上好
sahc 上海
sahg 上回
sahi 上火
sahr 上海人
sahs 上海市
saht 上海滩
saj/ 上级
saj/ 上缴
saje 上街
sajf 上佳
sajh 上进
saji 上卷
sajn 上届
sajo 上家
sajx 上进心
sajx 上机
sajy 上交
sakl 上口
sako 上空
sakp 上课
sakq 上看
salc 上流
salj 上联
salk 上列
sall 上来
sall 上路
salx 上楼
sam/ 上马
samk 上面
samu 上门
sanq 上年
sap, 上皮
sapl 上品
sapn 上屏
sapq 上篇
sapw 上牌
sapz 上铺
saqi 上前
saqq 上千
saqv 上去
sarf 上任
sart 上饶
sas/ 上书
sasa 叔叔
sasd 上升到
sasg 上山
sasj 上述
sasj 上世纪
sasn 上司
sasp 上诉
sasq 上升
sasw 上身
sasy 上市
sasz 上式
sat. 上台
satd 上膛
sath 上天
satj 上台阶
sato 上头
sawg 上网
sawn 上尉
sawq 上午
sawy 上文
sawy 上万
sax/ 上线
saxb 上下班
saxe 上行
saxj 上下
saxm 上限
saxo 上学
saxp 上心
saxq 上星期
saxt 上旬
saxw 上下文
saxx 上校
sayb 上药
sayc 上演
sayc 上游
sayd 上月
sayg 上一个
sayq 上移
says 上映
sayu 上扬
sayy 上衣
sayy 上瘾
saz 上
saz; 上至
saza 上桌
sazc 上涨
sazd 上肢
sazj 上载
sazl 上座率
sazm 上阵
sazt 上周
sazy 上装
sb 苏
sb,o 苏
sba 苫
sbaj 菽
sbal 苫
sbba 苏北
sbbx 誓不罢休
sbby 十八般武艺
sbc 莎
sbcb 蔬菜
sbcd 莎
sbdb 圣彼得堡
sbdl 山崩地裂
sbdm 萨达姆
sbdp 苏东坡
sbdt 苏丹
sbdu 苏打
sbfs 生不逢时
sbfy 苏方
sbg 薯
sbgb 事半功倍
sbgb 事倍功半
sbgf 食不果腹
sbgj 事不关己
sbgl 苏格兰
sbgq 事必躬亲
sbgq 说不过去
sbgs 少不更事
sbgs 薯
sbgw 食不甘味
sbgx 善罢甘休
sbh 蒜
sbhd 蒜
sbht 双边会谈
sbi 蒴
sbi; 蒴
sbij 薮
sbj 葚
sbja 葚
sbjk 蓍
sbjn 蔌
sbjp 苏军
sbkc 深不可测
sbkd 势不可挡
sbkn 俗不可耐
sbks 萨克斯
sblh 三百六十行
sblj 苏联
sbll 势不两立
sblz 树碑立传
sbm 蔬
sbmb 蒜苗
sbmj 荪
sbmj 蔬
sbml 身败名裂
sbmm 死不瞑目
sbmy 萨
sbnj 苏南
sbno 苏宁
sbns 寿比南山
sbqz 苏区
sbr 荽
sbri 荽
sbs 莳
sbsj 手不释卷
sbsj 莳
sbss 神不守舍
sbss 数不胜数
sbsx 实报实销
sbt 芍
sbt. 芟
sbtb 蒜薹
sbto 蒜头
sbtv 芍
sbw 虱
sbwd 时不我待
sbwn 虱
sbx 菘
sbxj 苏醒
sbxr 菘
sbxs 素不相识
sbxy 深表谢意
sby 蓑
sbyb 芍药
sbyg 蓑
sbyh 深表遗憾
sbyi 莘
sbyj 身不由己
sbyt 生搬硬套
sbyy 散兵游勇
sbzi 苏州
sbzj 损兵折将
sbzl 随波逐流
sbzm 舍本逐末
sbzm 虱子
sbzs 苏州市
sbzx 死不足惜
sc 深
sc, 涩
sc,u 涩
sc,z 娑
sc. 渗
sc.k 渗
sca 涉
scaa 涉
scaj 淑
scao 涉案
scar 深爱
scaw 深奥
scaw 恃才傲物
scbb 四处奔波
scbh 深表
scbl 深藏不露
scbm 生产部门
scbs 三寸不烂之舌
scbz 生辰八字
sccb 沙茶
sccc 深沉
sccd 沙尘
sccj 生产厂家
sccj 沙茶酱
sccm 渗出
sccn 深层
sccq 深长
scct 深处
sccv 沙场
scd 沙
scdd 说长道短
scde 深得
scdh 石沉大海
scdh 深仇大恨
scdi 沙
scdl 沙嗲
scdv 沙地
scdy 深度
scdy 湿度
scef 沙俄
scf, 沙发
scfe 市场份额
scfs 生产方式
scfx 市场风险
scfy 神采飞扬
scfz 市场发展
scg 汕
scgc 生产过程
scgf 诗词歌赋
scgh 深耕
scgh 濉
scgj 生产工具
scgk 深感
scgl 生产管理
scgm 神出鬼没
scgo 深宫
scgr 深谷
scgt 泗
scgx 生产关系
scgx 汕
scgy 生产工艺
scgz 视察工作
sch/ 深红
schc 深海
schf 深化
schk 深厚
schs 深灰色
schw 沙皇
schx 深呼吸
sci 溯
sci; 溯
scj 洒
scj, 洒
scja 澌
scja 滠
scjd 涉及到
scjg 深加工
scjg 市场价格
scjh 生产计划
scjj 市场经济
scjl 三寸金莲
scjn 漱
scjn 涑
scjo 深究
scjr 沭
scjs 生产技术
scjt 涉及
scjy 生产经营
scjy 省吃俭用
scjz 澍
sckj 随处可见
sckl 漱口
sckv 沙坑
scky 深刻
scl 渑
sclb 洒落
sclb 深蓝
sclc 渗漏
sclc 洒泪
scld 三长两短
sclg 渑
scli 沙粒
sclk 沙龙
scll 湿漉漉
sclt 涉猎
sclx 沙林
scly 生产领域
scmc 沙漠
scmc 洒满
scmv 深埋
scn 涮
scn, 淑女
scnb 汜
scnl 生产能力
scnw 涮
sco 渖
scom 渖
scp 沈
scpe 沙盘
scpr 深
scpt 沈
scq 挲
scq; 深切
scqc 深浅
scqd 潲
