x 学
x, 姓
x,/ 絮
x,/u 絮
x,f, 媳妇
x,ft 嫌犯
x,g 勰
x,gj 勰
x,i 嫌
x,i; 嫌
x,j 嬉
x,jz 嬉
x,m 婿
x,mk 婿
x,mt 姓名
x,ny 絮凝
x,p, 嬉皮
x,qj 姓
x,qy 嫌弃
x,st 姓氏
x,sy 娴熟
x,u 娴
x,ub 娴
x,w 媳
x,wn 媳
x,x. 嬉戏
x,xm 嫌隙
x,yf 嫌疑犯
x,yp 絮语
x,yr 嫌疑人
x,yt 嫌疑
x. 习
x.; 戏
x.;r 戏
x.de 习得
x.fc 戏法
x.go 习惯
x.gs 习惯上
x.gx 习惯性
x.gy 习惯于
x.jh 戏剧化
x.jj 戏剧家
x.jn 戏剧
x.jx 戏剧性
x.mt 熊猫
x.nh 戏弄
x.o 熊
x.oo 熊
x.qg 戏曲
x.qq 习气
x.sf 习俗
x.sg 戏水
x.sk 戏耍
x.sp 戏说
x.sy 熊市
x.t. 戏台
x.tj 习题集
x.ts 习题
x.x. 熊熊
x.xo 习性
x.xp 戏谑
x.ym 戏院
x.yt 习用
x.z 习
x.zf 习作
x.zm 戏子
x.zo 习字
x/ 线
x/; 骁
x/;q 骁
x/b, 乡办
x/b/ 续编
x/bd 细胞
x/bl 乡巴佬
x/bu 巡捕
x/bw 细白
x/c 乡
x/cf 续传
x/co 细察
x/cq 细长
x/cq 线程
x/cq 乡愁
x/cx 乡村
x/df 续贷
x/dp 细读
x/dw 线段
x/f 绡
x/f/ 细缝
x/fc 绡
x/fd 驯服
x/fn 续费
x/fp 飨
x/fr 细分
x/fu 巡抚
x/g 细
x/gb 乡干部
x/gj 细
x/h, 线
x/hb 绣花
x/hc 细活
x/he 续航
x/he 巡航
x/hf 驯化
x/hf 细化
x/hg 巡回
x/j 续
x/j. 续
x/ja 绁
x/jb 细菌
x/jb 细节
x/jb 巡警
x/jf 续集
x/jk 绪
x/jn 续建
x/jo 细究
x/ju 乡间
x/jx 细菌学
x/jz 缬
x/kq 细看
x/lb 线路板
x/lc 细流
x/ld 巡逻队
x/lg 巡逻
x/lg 乡里
x/li 细粮
x/ll 线路
x/lp 绪论
x/lz 绚丽
x/mg 细目
x/mn 乡民
x/mo 细密
x/mq 细毛
x/n, 细嫩
x/nd 细腻
x/p 巡
x/pq 续篇
x/pv 巡
x/q 纤
x/qd 绣
x/qg 线圈
x/qm 乡亲们
x/qo 乡情
x/qq 续签
x/qx 纤
x/qy 乡亲
x/r; 细软
x/s/ 细纱
x/sc 细沙
x/sd 线速度
x/si 细数
x/sj 线索
x/sj 细述
x/sk 细碎
x/sp 巡视
x/sp 细说
x/t 绚
x/tl 细听
x/ts 绚
x/tt 线条
x/tv 乡土
x/w 驯
x/w/ 纤维
x/we 细微
x/wo 续完
x/ws 纤维素
x/wu 细问
x/wx 驯
x/x 缃
x/x/ 细细
x/xd 细小
x/xg 缃
x/xh 线形
x/xj 乡下
x/xn 续弦
x/xo 线性
x/xp 细心
x/xr 乡下人
x/xx 细想
x/y 骧
x/y. 骁勇
x/yg 乡野
x/yi 驯养
x/yj 细雨
x/yj 巡洋舰
x/yl 骧
x/yp 细语
x/yy 乡音
x/z; 细致
x/zf 乡政府
x/zg 细则
x/zi 绣着
x/zn 巡展
x/zp 巡诊
x/zq 乡长
x/zy 线装
x/zz 乡镇
x; 邪
x;di 邪道
x;ej 邪恶
x;h 轩
x;hr 邪乎
x;hx 轩
x;jj 邪教
x;ll 邪路
x;m 邪
x;mu 邪门
x;my 邪魔
x;nf 邪念
x;o 辖
x;on 辖
x;qq 邪气
x;qz 辖区
x;sp 邪说
x;y; 轩辕
xa 些
xabu 虚报
xacp 虚词
xady 虚度
xagx 虚构
xagy 虚高
xah 些
xah/ 虚幻
xahc 虚汗
xajf 虚假
xajo 虚惊
xakk 虚夸
xako 虚空
xald 心安理得
xamt 虚名
xanu 虚拟
xapd 虚胖
xarb 虚荣
xarn 虚弱
xarx 虚荣心
xas 虚
xasg 虚岁
xasi 虚数
xasi 虚
xaso 虚实
xasp 虚设
xatd 虚脱
xawf 虚伪
xawh 虚无
xaws 相安无事
xawy 虚妄
xax/ 虚线
xaxp 虚心
xaxp 些许
xb 薪
xb/ 芗
xb/c 芗
xb;j 荤
xbcb 苋菜
xbcj 薪酬
xbdc 蓄电池
xbdf 西部大开发
xbdq 西北地区
xbdz 喧宾夺主
xbe 荇
xbea 荇
xbes 蓰
xbf 莶
xbfl 莶
xbg 苋
xbgc 校办工厂
xbgj 葸
xbgr 荥
xbgt 苋
xbgx 西北工业大学
xbhc 蓄洪
xbj 茜
xbj 蕈
xbj, 茜
xbjf 薪金
xbjm 蕈
xbjq 蓄积
xbk 薤
xbk. 薤
xbkf 西部开发
xbly 西伯利亚
xbmp 蓄谋
xbn 萧
xbnb 芎
xbnh 荨
xbnj 萧
xbo 萱
xbob 蓿
xbon 萱
xbp 芯
xbpo 芯
xbpw 芯片
xbq 薰
xbqg 薰
xbsc 蓄水池
xbsg 薪水
xbsg 萧山
xbsg 蓄水
xbsh 萧瑟
xbsu 蓄势
xbt 荀
xbtg 藓
xbts 荀
xbtt 萧条
xbw 薛
xbwl 下不为例
xbwn 薛
xbwy 学部委员
xbx 菥
xbxb 萧萧
xbxe 菥
xbxg 葙
xbxj 虾兵蟹将
xby 蓄
xby/ 蓄
xbyi 莘
xbyi 薪
xbym 荥阳
xbyy 瑕不掩瑜
xbyy 蓄意
xbzj 喜不自禁
xbzs 喜不自胜
xbzx 相比之下
xbzy 心不在焉
xc 溪
xc. 浚
xc.r 浚
xca 瀣
xcat 瀣
xcb 潇
xcbd 宣传报道
xcbg 现场办公
xcbn 潇
xcbx 相持不下
xcbz 宣传部长
xccb 洗菜
xccc 消沉
xccf 现场采访
xccm 消除
xcdc 洗涤
xcdg 消毒柜
xcdh 消毒
xcdj 洗涤剂
xcdj 消毒剂
xcdl 雄才大略
xcdu 洗掉
xcdx 新陈代谢
xcf 消
xcf, 洗发
xcfc 消防车
xcfc 消
xcff 消防法
xcfg 消费国
xcfh 溆
xcfl 消费量
xcfm 消防
xcfn 消费
xcfo 泄愤
xcfp 消费品
xcfs 洗发水
xcfz 消费者
xcgz 宣传工作
xchc 泄洪
xchd 消化道
xchf 消化
xchg 学成回国
xchh 消耗
xchl 消耗量
xchm 消化酶
xchy 消化液
xcj 泄
xcja 渫
xcja 泄
xcjc 湘江
xcjd 洗脚
xcjh 新仇旧恨
xcjj 新春佳节
xcjp 湘军
xcjt 消解
xcjv 洗劫
xcjx 消极
xcjy 洗净
xckc 消渴
xckl 溪口
xcl/ 洗练
xclc 溪流
xclc 泄漏
xcld 洗脸
xcll 泄露
xclp 洗礼
xcmk 洗面
xcml 消灭
xcmn 洗面奶
xcmo 泄密
xcmy 消磨
xcn 汛
xcnd 洗脑
xcnh 浔
xcnx 汛
xco 渲
xcon 渲
xcp 泻
xcp; 泻
xcpe 洗盘
xcpp 心潮澎湃
xcpw 洗牌
xcq 洗
xcqa 洗
xcqc 洗清
xcqg 消遣
xcqj 汛期
xcqo 汛情
xcqq 泄气
xcqv 洗去
xcqz 洗钱
xcr 淆
xcrc 渲染
xcrc 洗染
xcri 溪
xcrk 浠
xcrk 淆
xcrm 汹
xcrz 消融
xcsc 潇洒
xcsc 洗漱
xcsf 泄私愤
xcsg 溪水
xcsj 洗手间
xcsj 消散
xcsn 洗刷
xcsq 消失
xcsq 洗手
xcsr 心慈手软
xcss 消暑
xcsu 消逝
xcsw 心驰神往
xcsy 消瘦
xct 汐
xctc 湘潭
xctn 消退
xcto 洗头
xcts 洵
xctv 汐
xcw 溴
xcw; 涎
xcwc 漩涡
xcwk 洗碗
xcwm 洫
xcwn 溴
xcww 喜出望外
xcwy 消亡
xcx 湘
xcxb 消息报
xcxc 潇潇
xcxe 淅
xcxg 湘
xcxj 湘西
xcxs 相差悬殊
xcxw 消息
xcy 泫
xcy, 漩
xcy/ 泫
xcyc 汹涌
xcyf 洗衣粉
xcyi 消炎
xcyj 洗衣机
xcyx 响彻云霄
xcyy 洗衣
xczb 现场直播
xczc 洗澡
xczd 消肿
xczj 洗澡间
xczo 消灾
xd 小
xd, 胁
xd,o 胁
xdbd 小不点
xdbf 小便
xdbh 小百货
xdbl 小白脸
xdbu 小报
xdbw 小兵
xdby 胸部
xdc; 小车
xdcb 小草
xdcd 小肠
xdce 小船
xdcf 胁从
xdcg 小虫
xdcl 小吃
xdcm 小丑
xdco 小窗
xdcq 小乘
xdcv 小城
xdcz 小册子
xdd, 小刀
xddc 小洞
xddd 小得多
xddi 小弟
xddm 小队
xddp 小调
xddt 小岛
xddy 小店
xddy 笑掉大牙
xddz 小动作
xdeh 小二
xdek 小儿科
xdeo 小额
xdet 小儿
xdey 相对而言
xdez 席地而坐
xdfd 小腹
xdfd 小分队
xdfg 小贩
xdfm 许多方面
xdfn 小费
xdfw 小范围
xdg 省
xdgg 小国
xdgh 省
xdgi 膝盖
xdgj 小工
xdgm 小规模
xdgn 小姑娘
xdgt 小狗
xdgw 小鬼
xdha 小虎
xdhb 小花
xdhc 小河
xdhe 小孩儿
xdhf 小伙
xdhi 小火
xdhl 小号
xdhm 小孩
xdho 胸怀
xdhs 现代化建设
xdhy 现代汉语
xdhz 小孩子
xdhz 小伙子
xdj 腊
xdj, 小姐
xdj. 小鸡
xdj/ 小结
xdja 腊
xdjb 小节
xdjd 小脚
xdjf 小件
xdjh 小家伙
xdjl 心胆俱裂
xdjm 兄弟姐妹
xdjp 小计
xdjp 胸襟
xdjs 凶多吉少
xdjx 下定决心
xdjy 现代教育
xdjy 小将
xdkg 相当可观
xdkj 现代科技
xdkl 胸口
xdkm 小孔
xdkq 小看
xdkv 小块
xdkx 现代科学
xdky 小康
xdlk 小两口
xdll 小路
xdlq 下大力气
xdls 相对来说
xdlt 小灵通
xdlx 小楼
xdly 小鹿
xdm, 小妹
xdmb 小卖部
xdmh 小麦
xdmi 小米
xdmt 小猫
xdmu 胸闷
xdmz 小拇指
xdn, 小妞
xdnd 小脑
xdnh 虚度年华
xdnp 小农
xdnq 小牛
xdnt 小鸟
xdny 现代农业
xdpd 胸脯
xdpj 小票
xdpl 小品
xdpw 胁迫
xdpy 小朋友
xdqd 胸腔
xdqh 小气候
xdqi 胸前
xdqj 小巧
xdqn 小青年
xdqq 小气
xdqx 小桥
xdqy 省亲
xdqy 小企业
xdqz 小区
xdrf 小人
xds 腥
xdsc 小生产
xdsg 小山
xdsh 小时候
xdsi 小数
xdsj 小声
xdsj 小事
xdsj 小说家
xdsl 心地善良
xdsm 小市民
xdsn 小时内
xdsp 小说
xdsq 小生
xdsq 腥
xdss 小时
xdsx 小树
xdsy 小商
xdsz 小叔子
xdt 胸
xdtd 胸膛
xdtd 小腿
xdtf 小偷
xdth 心得体会
xdto 膝头
xdtq 小提琴
xdtq 胸透
xdtr 胸
xdtu 小摊
xdv 小
xdw 腺
xdwg 胸围
xdwk 先睹为快
xdwl 腥味
xdwm 现代文明
xdwn 小屋
xdwn 腺
xdwo 省悟
xdwt 许多问题
xdx 膝
xdxc 小溪
xdxd 小小
xdxd 胸腺
xdxf 膝
xdxh 小型
xdxj 小巷
xdxl 小雪
xdxo 小学
xdxp 小心
xdxs 小学生
xdxx 小学校
xdxy 小心眼
xdy, 小姨
xdyg 小鸭
xdyh 小于
xdyi 小羊
xdyj 小雨
xdym 小院
xdyp 小语
xdyq 小夜曲
xdyx 小游戏
xdyz 小燕子
xdyz 相得益彰
xdyz 形单影只
xdz/ 小组
xdzb 小字辈
xdzg 胸罩
xdzg 胸中
xdzh 小组会
xdzj 信贷资金
xdzm 小子
xdzo 小字
xdzt 小猪
xdzu 小指
xdzx 胸椎
xdzy 小站
xdzz 小镇
xe 行
xea 徙
xeaa 徙
xeau 须按
xebt 行不通
xebx 行不行
xec; 行车
xecq 行程
xedh 行动
xeds 行动上
xedt 行得通
xee 循
xeej 循
xef 徐
xef, 须发
xefh 徐
xefp 行房
xegt 洗耳恭听
xehg 行贿
xehh 循环
xehs 循环赛
xehx 行
xej 舾
xej, 舾
xeje 行径
xejh 行进
xejp 行军
xeju 衔接
xejy 行迹
xek 须
xekg 须
xell 行路
xelp 行礼
xelt 须留
xelx 行李
xely 行旅
xemm 须眉
xemn 须弥
xenj 行囊
xep/ 行骗
xeqj 行期
xeqo 行窃
xerf 行人
xert 欣然
xes/ 行驶
xes/ 行书
xesf 欣赏
xesf 行使
xesg 行署
xesi 行善
xesj 行事
xesq 徇私
xesx 形而上学
xet 欣
xetf 欣
xeto 行头
xets 徇
xewi 行为
xewj 悬而未决
xewn 欣慰
xewy 行文
xexe 徐徐
xexh 小恩小惠
xexj 欣喜
xexr 行凶
xexs 行星
xexw 须向
xexy 循序
xexz 行销
xey 舷
xey/ 舷
xeyj 显而易见
xeyo 欣悦
xeyw 须臾
xeyz 行医
xez 衔
xezc 行政村
xezf 行政法
xezi 徐州
xezj 行政
xezk 须在
xezl 行踪
xezq 须知
xezq 行政区
xezs 徐州市
xezv 行走
xezy 行装
xf 修
xf. 叙
xf.; 翕
xf; 偕
xf;t 偕
xfb, 斜边
xfba 信步
xfbg 信不过
xfbp 修补
