y 一
y, 姚
y,. 妤
y,.m 妤
y,; 姨
y,;; 姨
y,cf 盈创
y,f, 孕妇
y,fh 姨夫
y,fr 姨父
y,g 盈
y,gk 姻
y,go 妖怪
y,gs 盈
y,h 妍
y,hw 妍
y,j 嫣
y,jf 娅
y,ji 妖精
y,jj 嫣
y,k 妪
y,kh 盈亏
y,kp 妪
y,l 娱
y,lc 娱乐场
y,lh 娱
y,lq 盈利
y,lt 娱乐
y,lx 娱乐性
y,m 孕
y,m, 姨妈
y,mw 妖魅
y,my 妖魔
y,mz 孕
y,n, 妖女
y,nb 妖孽
y,q 妖
y,qj 孕期
y,qq 妖气
y,qr 妖
y,r 媛
y,r, 妖娆
y,r; 姚
y,ri 媛
y,rt 嫣然
y,s 媪
y,sg 媪
y,tt 姨太太
y,x; 妖邪
y,y/ 姻缘
y,yf 盈余
y,yh 妖艳
y,yy 孕育
y. 又
y., 勇
y.. 羽
y..z 羽
y.ao 预案
y.b; 又比
y.ba 以北
y.bd 预备队
y.bf 以便
y.bh 以表
y.bp 又被
y.bs 又不是
y.bt 预备
y.bu 预报
y.by 预备役
y.ca 以此
y.cc 预测
y.cf 又从
y.cl 预处理
y.cq 又称
y.cw 以此为
y.d; 以东
y.de 又得
y.di 甬道
y.dk 勇夺
y.do 预定
y.dp 预订
y.f 以
y.ff 预付
y.fh 勇夫
y.fk 预付款
y.fm 预防
y.g 翼
y.gf 预估
y.gg 预购
y.gh 甬
y.gj 翼
y.gk 预感
y.gn 勇敢
y.gq 预告
y.he 以后
y.hf 又会
y.jb 预警
y.jg 预见
y.jj 预警机
y.jl 又叫
y.jn 豫剧
y.jp 预计
y.jt 以及
y.jx 预见性
y.jy 预交
y.jy 又将
y.k 预
y.kg 预
y.kx 羿
y.ky 又可以
y.li 预料
y.ll 以来
y.ls 预览
y.lt 预留
y.ly 以利于
y.m 予
y.mp 预谋
y.mq 羽毛
y.mt 以免
y.mt 勇猛
y.my 又没有
y.n. 又能
y.ng 以内
y.nj 以南
y.np 允诺
y.nq 翌年
y.p 恿
y.po 恿
y.q 矣
y.qi 以前
y.qj 预期
y.qk 矣
y.qq 勇气
y.qv 又去
y.r, 又如
y.r/ 羽绒
y.rs 翌日
y.ru 预热
y.sa 以上
y.sf 预售
y.sh 预示
y.sj 勇士
y.sl 以色列
y.sn 预算内
y.so 预赛
y.so 预审
y.sp 又说
y.sq 预算
y.ss 又是
y.sw 预算外
y.t 允
y.tg 豫
y.tp 鹬
y.tv 羽坛
y.tw 以太网
y.we 以往
y.wi 以为
y.wt 以外
y.wu 又问
y.x. 预习
y.xf 又像
y.xj 以下
y.xp 允许
y.xq 预选
y.xq 预先
y.xs 预选赛
y.xw 又向
y.xx 预想
y.y 翌
y.y. 予以
y.y/ 预约
y.yc 又一次
y.yc 预演
y.yg 又一个
y.yh 勇于
y.yi 翌
y.yj 又要
y.yk 又有
y.yt 又用
y.yy 预言
y.yz 又一
y.z; 以致
y.zg 预置
y.zj 预支
y.zk 又在
y.zn 预展
y.zp 预祝
y.zq 预知
y.zq 预制
y.zr 预兆
y.zy 以至于
y/ 约
y/, 幼
y/. 驭
y/.h 绎
y/.h 驿
y// 缘
y//k 缘
y/cg 幼虫
y/di 驿道
y/do 约定
y/ds 约旦
y/et 幼儿
y/ey 幼儿园
y/f 验
y/fc 约法
y/fl 验
y/fr 缘分
y/fy 验方
y/g 缨
y/gf 缨
y/gj 缘故
y/gq 约稿
y/h 纭
y/h, 约好
y/h. 纭
y/hf 约会
y/hj 约翰
y/hx 纡
y/i 彝
y/ij 彝
y/ik 缢
y/jg 约见
y/jj 幼教
y/jp 约计
y/l 邕
y/lg 约略
y/lm 邕
y/lx 幼林
y/mb 幼苗
y/mu 约摸
y/n, 幼女
y/nq 幼年
y/qp 约请
y/qv 缘起
y/sj 约束
y/sl 约束力
y/sm 验收
y/sq 验算
y/ss 幼时
y/tf 幼体
y/tv 约
y/ty 幼童
y/v 幺
y/wi 约为
y/xd 幼小
y/yb 幼芽
y/yg 缘由
y/yh 缘于
y/yk 约有
y/yt 验印
y/za 约占
y/zm 验证码
y/zp 验证
y/zq 幼稚
y/zy 驿站
y/zy 彝族
y; 与
y;, 轺
y;,l 轺
y;; 夷
y;;c 夷
y;b 轧
y;ca 牙齿
y;ca 与此
y;cy 牙床
y;d 牙
y;dg 雅典
y;dn 雅典娜
y;f 雅
y;f/ 牙缝
y;fk 与否
y;fy 雅
y;g. 雅观
y;gi 牙关
y;gj 与共
y;gv 牙垢
y;gx 牙根
y;gy 牙膏
y;ha 雅虎
y;hf 与会
y;hg 雅黑
y;hl 雅号
y;hz 与会者
y;jd 雅加达
y;k 尧
y;kb 尧
y;kq 牙科
y;ls 雅量
y;mh 雅马哈
y;mj 牙买加
y;p 迓
y;pv 迓
y;pw 鸦片
y;qj 与其
y;qk 轶
y;qq 牙签
y;qs 与其说
y;qv 雅趣
y;rf 与人
y;sj 轶事
y;sn 牙刷
y;t 鸦
y;tf 欤
y;tp 鸢
y;tp 鸦
y;ty 牙痛
y;ty 牙疼
y;v 弋
y;vl 辕
y;wm 与我们
y;wu 轶闻
y;ya 牙龈
y;ym 弋阳
y;yz 牙医
y;z 与
y;z; 雅致
y;zp 与之
y;zy 雅座
ya 虞
yag 卣
yagn 卣
yaj 龉
yajn 龉
yakc 有案可查
yalh 虞
yan 龈
yan; 龈
yb 乙
yb. 苡
yb.f 苡
yb.m 蓣
yb/ 药
yb/k 药
yb/u 萦
yb/z 蕴
yb; 芽
yb;; 荑
yb;d 芽
ybb 艺
ybbb 以不变应万变
ybbh 夜不闭户
ybbn 欲罢不能
ybbz 英镑
ybcb 蕴藏
ybcj 英寸
ybcj 乙醇
ybcj 英才
ybck 药厂
ybcn 英尺
ybcx 药材
ybdt 一步登天
ybdv 营地
ybdw 一步到位
ybdy 药店
ybdz 芸豆
ybf 莜
ybf 莶
ybfd 莜
ybfh 蓥
ybfl 莶
ybfn 药费
ybfp 药房
ybfp 营房
ybfy 乙方
ybfy 药方
ybg 英
ybgb 荧光屏
ybgd 乙肝
ybgf 荧光
ybgg 英国
ybgj 萤
ybgk 茵
ybgk 英
ybgl 英格兰
ybgx 一笔勾销
ybh 莹
ybh. 芸
ybha 莹
ybhc 萤火虫
ybhc 英汉
ybhc 蕴涵
ybhf 蕴含
ybhi 萤火
ybht 芫
ybhx 芋
ybhy 英豪
ybi 荧
ybir 荧
ybj/ 乙级
ybjc 药酒
ybjf 英俊
ybjj 营救
ybjl 由表及里
ybjn 营建
ybjp 英军
ybjs 一般见识
ybjx 药检
ybjy 药剂
ybkf 一饱口福
ybkj 遥不可及
ybkl 营口
ybl 营
ybl. 营垒
yblb 英联邦
yblg 英里
yblh 药理
ybli 乙类
yblj 一般来讲
yblk 英烈
ybll 营
ybln 英灵
yblq 营利
ybls 一不留神
ybls 一般来说
yblw 也不例外
ybm 荫
ybmd 荫
ybmi 英美
ybmj 乙醚
ybms 英明
ybmt 英名
ybmx 英模
ybmy 英亩
ybn 蔚
ybnl 应变能力
ybnq 蔚
ybo 菀
ybo, 菀
ybpe 营盘
ybpl 药品
ybpn 荧屏
ybpw 药片
ybpz 药铺
ybq 莠
ybqc 永葆青春
ybqd 莠
ybqi 乙炔
ybqk 一般情况
ybqq 英气
ybqx 一般情况下
ybqz 营区
ybr 艾
ybr/ 萦绕
ybrc 义不容辞
ybrc 一表人才
ybrf 艺人
ybrm 原班人马
ybsd 药膳
ybsg 药水
ybsj 艺术
ybsj 艺术家
