z 在
z, 召
z,g 妯
z,gj 妯
z,hg 召回
z,hl 召唤
z,jf 召集
z,jg 召见
z,kh 召开
z,l 召
z,l, 妯娌
z,m, 姊妹
z,mp 姊妹篇
z,t 姊
z,td 姊
z,y 嫜
z,yi 嫜
z,z, 姊姊
z. 蚤
z.f 翟
z.fy 翟
z.gj 蚤
z/ 组
z/. 缀
z/.. 缀
z// 缁
z//m 缁
z/; 彘
z/;q 彘
z/bk 织布
z/bw 纸币
z/bx 纸板
z/bz 纸包装
z/ck 组成
z/cm 绽出
z/cp 组词
z/cv 终场
z/da 终点
z/df 纸袋
z/dm 纵队
z/dv 驻地
z/dx 终点线
z/dy 终端
z/dz 终点站
z/f 纵
z/ff 纵
z/fm 驻防
z/fy 绽放
z/fy 骓
z/g 驵
z/g. 纵观
z/g/ 纵贯
z/gd 终归
z/gh 驵
z/gh 组
z/gj 甾
z/gq 组稿
z/gu 组阁
z/hf 综合
z/hf 组合
z/hf 纸盒
z/hf 驻华
z/hi 纵火
z/hx 纵横
z/i 缯
z/ig 缯
z/j 骤
z/j/ 终结
z/ja 骤
z/jf 组件
z/jg 纸巾
z/jg 缜
z/jn 组建
z/jo 终究
z/jp 驻军
z/jv 纣
z/jx 终极
z/jy 终将
z/jy 纸浆
z/jy 驻京
z/jz 终结者
z/kh 绽开
z/l 织
z/lh 纸老虎
z/lj 终老
z/lp 纵论
z/lq 纸篓
z/lr 织
z/ls 纵览
z/m/ 纵马
z/md 驻马店
z/mi 驻美
z/mo 缜密
z/n, 织女
z/n. 终能
z/nq 终年
z/ns 终南山
z/nx 织女星
z/o 综
z/on 绽
z/on 综
z/pl 织品
z/pw 纸牌
z/pw 纸片
z/qa 缵
z/qo 纵情
z/qz 纸钱
z/ro 纵容
z/rs 终日
z/rs 驻日
z/rt 纵然
z/rt 骤然
z/sa 综上
z/sa 纸上
z/sc 纵深
z/se 驻所
z/sf 纵使
z/sj 综述
z/so 终审
z/so 驻守
z/sq 终生
z/sw 终身
z/sw 纵身
z/sz 终身制
z/t 终
z/t; 纸
z/tg 组团
z/tk 组态
z/tn 绉
z/tn 驺
z/to 纸头
z/to 终
z/tp 纵谈
z/tt 纸条
z/w 缒
z/wh 组委会
z/wn 缴
z/wn 缒
z/wq 织物
z/wt 驻外
z/xe 终须
z/xn 纸屑
z/xq 纸箱
z/xw 纵向
z/y 驻
z/y; 纸鸢
z/yb 综艺
z/yg 终因
z/yh 终于
z/yi 纸烟
z/yj 驻
z/yk 纵有
z/yl 组员
z/yr 纵欲
z/ys 纸业
z/z/ 组织
z/z; 纵轴
z/za 终止
z/zb 组织部
z/zh 组织化
z/zl 驻足
z/zn 纸张
z/zq 组长
z/zs 组织上
z/zu 驻扎
z/zx 组织性
z/zy 组装
z/zz 组织者
z; 转
z;/ 辎
z;/m 辎
z;; 轾
z;;v 轾
z;ar 至爱
z;aw 致癌物
z;ay 致癌
z;b 轧
z;bk 暂不
z;bt 转包
z;bu 转播
z;by 转变
z;ca 至此
z;ck 致残
z;cm 轴承
z;cp 致词
z;cq 致辞
z;cy 转产
z;d; 转到
z;df 转贷
z;dg 致电
z;dh 转动
z;di 转道
z;dk 转达
z;do 暂定
z;dt 至多
z;e 斩
z;ej 斩
z;ek 转而
z;f 轸
z;f, 转发
z;fe 轸
z;fh 錾
z;fo 致富
z;fq 转发器
z;g 轴
z;g/ 转给
z;g; 转轨
z;gd 致公党
z;gg 转岗
z;gi 至关
z;gj 转过
z;gj 轴
z;gq 转告
z;gs 转过身
z;gy 至高
z;gz 轧钢
z;h 臻
z;h. 转
z;h/ 暂缓
z;hf 转化
z;hk 臻
z;hm 致函
z;hu 转换
z;hw 转化为
z;j 辄
z;j, 转嫁
z;ja 辄
z;jb 致敬
z;jf 至今
z;ju 转接
z;jx 转机
z;jx 至极
z;jy 转交
z;kl 转口
z;l 轵
z;l, 致力
z;li 转炉
z;ll 转来
z;ln 转录
z;lr 轵
z;ly 致力于
z;m 郅
z;mf 致命
z;mj 转卖
z;mo 致密
z;ms 致命伤
z;n 辗
z;nf 转念
z;nq 辗
z;ns 转暖
z;pe 转盘
z;q 致
z;qg 暂且
z;qi 致歉
z;qq 暂缺
z;qr 致
z;rf 转任
z;rp 转让
z;rr 转入
z;s 暂
z;sa 至上
z;sc 至深
z;sd 至少
z;sd 致胜
z;sf 致使
z;sg 转瞬
z;si 转送
z;si 斩首
z;sj 转速
z;sk 致死
z;sq 转手
z;ss 暂时
z;sw 转身
z;sy 至少有
z;tf 暂停
z;tg 转帖
z;tk 暂态
z;to 转头
z;v 至
z;wh 暂无
z;wi 转为
z;wy 转弯
z;x/ 轴线
z;xe 暂行
z;xf 致信
z;xh 转型
z;xo 转学
z;xp 致谢
z;xp 轴心
z;xq 转型期
z;xw 转向
z;y 辙
z;y. 致以
z;y. 辙
z;yd 转移到
z;yf 转悠
z;yg 转眼
z;yh 至于
z;yj 转眼间
z;yk 至友
z;yq 转移
z;ys 转业
z;yt 转用
z;yx 转椅
z;yy 致意
z;z; 辗转
z;za 转战
z;zd 转折点
z;zf 暂住
z;zg 转账
z;zi 至尊
z;zj 转载
z;zj 转正
z;zm 转子
z;zq 轧制
z;zq 辎重
z;zu 转折
za 战
za/ 紫
za/u 紫
za;r 战
zaa 止
zaaa 龇
zaao 桌案
zaba 止步
zabf 占卜
zabg 战败
zabt 战备
zabu 战报
zabz 止不住
zacb 紫菜
zace 战船
zacu 贞操
zacv 战场
zad; 占到
zadj 战斗机
zadl 战斗力
zadm 战队
zado 战斗
zadv 占地
zadv 战地
zaff 战俘
zaft 战犯
zag 贞
zag. 贞观
zagf 赀
zagf 贞
zagg 战果
zagg 战国
zagj 战功
zagl 治安管理
zagz 战歌
zah/ 紫红
zahe 战后
zahi 战火
zahp 战祸
zahs 紫红色
zahv 战壕
zaj/ 战绩
zaj/ 卓绝
zajc 紫禁城
zaje 战舰
zajf 紫金
zajn 战局
zajs 紫金山
zaju 占据
zajv 止境
zajx 战机
zak 砦
zakc 止渴
zakl 止咳
zakl 砦
zaky 战况
zal 占
zalf 占领
zalg 战略
zalj 战栗
zalj 占领军
zall 紫罗兰
zalp 战利品
zalq 战乱
zals 战略上
zalx 战略性
zam/ 战马
zamb 战幕
zamk 桌面
zapy 占便宜
zaqh 桌球
zaqi 战前
zaqz 战区
zas 卓
zasa 桌上
zasd 战胜
zasf 占上风
zasj 战士
zasj 战术
zasj 战事
zasj 卓
zask 紫砂
zasm 战士们
zasp 卓识
zass 战时
zast 紫色
zasu 止损
zat 觜
zatt 觜
zaty 止痛
zawx 紫外线
zax 桌
zax/ 占线
zax/ 战线
zaxq 占先
zaxw 止血
zay 訾
zay; 龇牙
zaye 战役
zayh 訾
zayk 战友
zayk 占有
zayl 占有率
zays 占优势
zayt 占用
zayv 卓越
zayx 桌椅
zayy 止痒
zazb 卓著
zazf 占住
zazm 桌子
zazt 战争
zazz 战争中
zb 著
zb/ 荮
zb/h 荮
zba 芷
zbaa 茈
zbaa 芷
zbah 藏獒
zbbd 藏胞
zbc 藻
zbcf 藏传
zbcg 菹
zbch 足不出户
zbcl 藻
zbcq 著称
zbdq 周边地区
zbdw 主办单位
zbdz 资不抵债
zbf, 蒸发
zbfl 蒸发量
zbfq 蒸发器
zbft 蒸饭
zbga 抓捕归案
zbgn 转变观念
zbgs 只不过是
zbgz 准备工作
zbh 蓁
zbhh 藏红花
zbhk 蓁
zbhz 藏画
zbj 蘸
zbj, 蘸
zbjg 芝加哥
zbjk 赞不绝口
zbjk 著
zbjl 准备金率
zbjr 治病救人
zbjx 准备就绪
zbk 藏
zbk. 葬
zbkn 藏
zbli 藻类
zblk 藏蓝
zblk 藏历
zbll 自不量力
zblp 葬礼
zblq 蒸笼
zbls 蒸馏水
zblt 蒸馏
zbly 藏羚羊
zbm 蒸
zbm, 蒸
zbmg 茁
zbmm 招兵买马
zbmn 藏民
zbmo 藏密
zbmt 著名
zbmy 芝麻
zbo 苎
zbon 苎
zbp 芝
zbpv 芝
zbq 茱
zbqc 蒸汽
zbqh 藏青
zbqj 蒸汽机
zbqj 茱
zbqq 蒸气
zbqy 正本清源
zbqz 藏区
zbry 在编人员
zbs 蕞
zbs/ 著书
zbsb 针砭时弊
zbsc 资本市场
zbsg 作壁上观
zbsg 蘸水
zbsi 葬送
zbsj 蕞
zbsn 中饱私囊
zbsw 葬身
zbsy 蒸熟
zbtg 逐步提高
zbti 蔗糖
zbws 转败为胜
zbwy 藏文
zbx. 藏戏
zbxc 逐步形成
zbxk 照本宣科
zby 蔗
zbyb 茱萸
zbyk 著有
zbyp 藏语
zbyq 蔗
zbyz 藏医
zbzf 著作
zbzj 站不住脚
zbzq 著作权
zbzq 自暴自弃
zbzy 资本主义
zbzy 藏族
zbzy 茁壮
zc 治
zc, 沼
zc,l 沼
zc. 泽
zc.; 濯
zc.h 泽
zc.l 治
zc/ 淄
zc/m 淄
zc; 沌
zc;g 沌
zca 沾
zcag 浈
zcal 沾
zcao 治安
zcb, 沾边
zcbf 组成部分
zcbj 治本
zcbj 淄博
zcbp 滋补
zcbx 治标
zcby 治病
zccb 注册表
zccb 注册版
zccc 涨潮
zccg 斩草除根
zcch 走村串户
zccj 注册机
zcck 治厂
zccm 注册码
zccs 政策措施
zcct 注册
zccz 资产重组
zcdc 铸成大错
zcdf 治党
zcdl 涨跌
zcdo 注定
zcdu 渣打
zcfg 涨幅
zcfj 藏传佛教
zcfz 资产负债
zcg 浊
zcgf 沾光
zcgg 治国
zcgj 浊
zcgl 资产管理
zch 渍
zch, 治好
zch/ 涨红
zcha 渍
zche 滞后
zchk 溱
zchy 主持会议
zci 洲
zci; 滋
zciu 洲
zcj 汁
zcja 湛
zcjc 浙江
zcjc 湛江
zcjd 注脚
zcjf 涨价
zcjj 资产阶级
zcjj 中产阶级
zcjk 渚
zcjm 洲际
zcjo 治家
zcjp 治军
zcjs 滞
zcjt 注解
zcjy 增产节约
zck 涿
zck, 涿
zcl 澡
zcla 浞
zclb 湛蓝
zclh 治理
zcll 澡
zcls 政策落实
zclt 滞留
zcly 治疗
zcmb 总参谋部
zcmc 沾满
zcmg 注目
zcms 注明
zcn 涨
zcn, 涨
zcnj 滞纳金
zco 滓
zco. 滓
zcpj 作出评价
zcq 洙
zcqc 沼气池
zcqj 在此期间
zcqj 洙
zcqk 正常情况
zcqq 沼气
zcrc 滋润
zcrc 沾染
zcrr 注入
zcru 滋扰
zcsa 沾上
zcsf 治伤
zcsg 治水
zcsj 滋事
zcsk 坐吃山空
zcsl 真材实料
zcsp 注视
zcsq 注射器
zcsq 滋生
zcsr 注释
zcsu 涨势
zcsw 注射
zcsx 真才实学
zcsy 治市
zct 潴
zctf 涨停
zctq 潴
zctx 自成体系
zcty 咫尺天涯
zcu 浙
zcue 浙
zcwg 早出晚归
zcwl 滋味
zcx 渣
zcxg 再创新高
zcxh 自惭形秽
zcxo 治学
zcxs 渣
zcxx 正常现象
zcxz 注销
zcxz 滞销
zcy 注
zcyc 汁液
zcyd 注意到
zcyf 治愈
zcyi 滋养
zcyi 漳
zcyj 自成一家
zcyj 注
zcyl 注意力
zcym 子丑寅卯
zcym 滋阴
